Record Type,ResourceID,Keeper,Object Identifier,Object Identifier Type,order,card
Objecten archief Grossmann,8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,Rubenianum,https://data.rubenianum.be//ark:/86530/8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,object identifier,0,AA
Objecten archief Grossmann,531cf614-2c68-518e-b586-bd494618926d,Rubenianum,https://data.rubenianum.be//ark:/86530/531cf614-2c68-518e-b586-bd494618926d,object identifier,0,AA
Objecten archief Grossmann,0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,Rubenianum,https://data.rubenianum.be//ark:/86530/0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,object identifier,0,AA
Objecten archief Grossmann,3c2bcf4c-2a4e-528a-8dcb-b2d9aaaf1fed,Rubenianum,https://data.rubenianum.be//ark:/86530/3c2bcf4c-2a4e-528a-8dcb-b2d9aaaf1fed,object identifier,0,AA
Objecten archief Grossmann,675ad524-cfb6-5d06-9684-ac3f31dd37ec,Rubenianum,https://data.rubenianum.be//ark:/86530/675ad524-cfb6-5d06-9684-ac3f31dd37ec,object identifier,0,AA
Objecten archief Grossmann,720fd76d-d5a6-5e2b-b964-dbd86d71de31,Rubenianum,https://data.rubenianum.be//ark:/86530/720fd76d-d5a6-5e2b-b964-dbd86d71de31,object identifier,0,AA
Objecten archief Grossmann,e5ecf9b6-1d4c-50c9-95e6-1013d54013e5,Rubenianum,https://data.rubenianum.be//ark:/86530/e5ecf9b6-1d4c-50c9-95e6-1013d54013e5,object identifier,0,AA
Objecten archief Grossmann,d6b93a71-5062-53d8-a45f-2068f718a811,Rubenianum,https://data.rubenianum.be//ark:/86530/d6b93a71-5062-53d8-a45f-2068f718a811,object identifier,0,AA
Objecten archief Grossmann,ea56551b-1143-5c33-aa7d-fda9ed25be41,Rubenianum,https://data.rubenianum.be//ark:/86530/ea56551b-1143-5c33-aa7d-fda9ed25be41,object identifier,0,AA
Objecten archief Grossmann,291b64fa-e066-533a-80b3-f35509e95957,Rubenianum,https://data.rubenianum.be//ark:/86530/291b64fa-e066-533a-80b3-f35509e95957,object identifier,0,AA
Objecten archief Grossmann,5f9b9a41-8fd9-544e-97b5-e9583d68618a,Rubenianum,https://data.rubenianum.be//ark:/86530/5f9b9a41-8fd9-544e-97b5-e9583d68618a,object identifier,0,AA
Objecten archief Grossmann,ea369e97-f1a3-5ec6-b8c7-fb9b99a9cba1,Rubenianum,https://data.rubenianum.be//ark:/86530/ea369e97-f1a3-5ec6-b8c7-fb9b99a9cba1,object identifier,0,AA
Objecten archief Grossmann,7c2a84a8-3f6b-5158-80fe-8a5979769ca8,Rubenianum,https://data.rubenianum.be//ark:/86530/7c2a84a8-3f6b-5158-80fe-8a5979769ca8,object identifier,0,AA
