ResourceID,Record Number,Name,Entity Type
2cedff68-341e-5fc0-947b-9e0a0c191a2c,au::100001,Afghanistan,Plaats
de6c0812-45b3-5aa7-9baa-705834e5775c,au::100002,Albanië,Plaats
41e3fb1b-e941-58c6-b6c8-2735458b001a,au::100003,Algerije,Plaats
7609f935-13f4-5eca-a240-40d0688befe7,au::100004,Ahaggar,Plaats
998cf286-366e-5209-963c-5f3ee95456ff,au::100005,Algiers,Plaats
6af0f0bd-69a7-53e1-8356-cf1e0d9efc97,au::100006,Annaba,Plaats
8d736c83-d7db-551c-909a-72f74274caa8,au::100007,Biskra,Plaats
4809a123-9d96-59ce-ab7b-6186facc0b4c,au::100008,Bougie,Plaats
b2185190-10ff-5ca2-b907-b30525d5dd1c,au::100009,Constantine,Plaats
cae2f1a4-b879-5c40-8015-5bf6fe2afbb2,au::100010,El Bigor,Plaats
e80a912c-100a-5fd8-a469-418ccb84ddc1,au::100011,Hodna,Plaats
cb113ac4-01df-5ae5-b7cf-322b68baad1a,au::100012,Laghouat,Plaats
e0c134bf-6241-577d-85fc-33aa6c90e7e4,au::100013,Médéah,Plaats
b09f4ba0-ee5f-5f0e-b2a1-c3297a48784d,au::100014,Mostaganem,Plaats
1baac16b-a1b8-5bf5-902e-145583880255,au::100015,Mustapha,Plaats
b28901ec-f2aa-55d7-a328-1bb14e40b5d4,au::100016,Oran,Plaats
60de9356-34ed-562d-bdef-8a89a9ca55df,au::100017,Skikda,Plaats
1c0d489a-1004-545a-95d4-8f48982edb51,au::100018,Tébessa,Plaats
810981f5-e55a-564d-a6d9-52e7a68aa7aa,au::100019,Timgad,Plaats
c3f3bcd1-5a02-58f0-bf6c-c6df6aea8886,au::100020,Amerikaanse Maagdeneilanden,Plaats
967b3b66-9071-5ef3-b004-b6b62505a774,au::100021,Amerikaans-Samoa,Plaats
660ac31d-45d2-5312-8dd0-e09926cdc9c2,au::100022,Andorra,Plaats
