ResourceID,Record Number,Name,Entity Type
764a2d79-8bd5-5ff2-9d21-8dab08cb40df,au::10132,Kengele,Tijdschrift
6e759a43-1962-512b-911c-cfb29034275d,au::10145,Kentering,Tijdschrift
6e5299a5-70b9-5a0d-a33a-a2281390028a,au::10146,Kentering,Tijdschrift
32699317-3469-562e-b577-2e75438c5c8d,au::10296,De Kindervriend,Tijdschrift
370136f7-87dd-512f-b051-17426af4cb67,au::10322,De Klauwaart,Tijdschrift
7fa33c0c-1cc4-5640-8a02-f237421fd245,au::10323,De Klauwaart,Tijdschrift
8898a9f8-aace-5880-879c-d4609ec2131f,au::10327,Klaverendrie,Tijdschrift
e8f04395-8c40-51d0-81b9-8818f9dd8410,au::10341,De Kleine Gazet [Weekblad],Tijdschrift
fd1034f9-cff0-57f8-92bf-68de23d8b4c3,au::10343,De Kleine Vlaming,Tijdschrift
c7366f48-7fe3-562c-a606-fae7855038c7,au::10362,De Klok uit België,Tijdschrift
ef91fe5d-9e13-5b4a-a093-9b576d258d90,au::10375,Knack,Tijdschrift
76adf62d-73d9-549a-ba55-855ad6dba8b0,au::10395,Ko-Ko (viermaandelijks suprakul-tutu-reel tijdschrift),Tijdschrift
5fd90304-cb8b-57ce-9918-475e45adc13a,au::10400,Koebel,Tijdschrift
bca78692-4e83-5ba0-9c8b-d5a388dc4de0,au::10438,Komma,Tijdschrift
25bce32f-0357-5482-b938-41cafcf13772,au::10441,Kompas,Tijdschrift
1ad0fccf-69d4-5d2c-911d-01a195288ef3,au::10443,Konfrontatie '60,Tijdschrift
a90f21c2-500d-58d2-856c-99da5e2604c3,au::10554,De Koophandel [Dagblad],Tijdschrift
31ad820d-bd66-531b-82a0-0ac3fcfd8371,au::1057,Balming,Tijdschrift
0ccaff81-5fb4-5806-bff0-bfac716777d1,au::10585,Kosmos,Tijdschrift
a4364bee-d0a3-5f18-b44d-609d69609031,au::10603,De Krant,Tijdschrift
e1c8c2b3-d51a-56ff-8ecf-ff56d2363522,au::10608,Kreatief,Tijdschrift
61a48cdc-9cfa-523e-8a8a-3d3bc52c99a2,au::10659,De Kroniek,Tijdschrift
9e2e98f3-c3e9-5c94-8290-95c68273d125,au::10660,Kroniek,Tijdschrift
bb97ca9b-d04c-556e-ab82-81fc46fe0540,au::10670,Kruispunt,Tijdschrift
b500bbd9-6fb1-5358-9da5-4c92b2c18ba5,au::106915,Verschillig,Tijdschrift
e84253e7-ef1a-5005-9c97-b2bc57a61a58,au::106956,De Houten Gong,Tijdschrift
252f4399-a127-5cbd-924d-408056280934,au::10699,Kultuur in Limburg,Tijdschrift
0d74c473-8718-574f-b001-327332d0b143,au::10701,Kultuurleven,Tijdschrift
ff678a8a-df01-591e-bb34-a79dec4d2116,au::107020,de Zwijger,Tijdschrift
5bd53f28-d91c-57ca-a907-2413685d17e9,au::10711,Kunst- en Letterblad,Tijdschrift
9affece8-c029-57d2-ad7a-f260cb924dd8,au::10714,De Kunst,Tijdschrift
32ea4299-2155-571c-b89b-4a4df84c917f,au::10715,Kunst,Tijdschrift
