code,value
ddh,Doek op hout
ddo,doek
ddp,doek op papier
det,eterniet
dgk,gekorreld papier
dgl,geolied linnen
dgp,Gekleurd papier
dgs,glas
dhb,houtblok
dho,hout
dhp,handgeschept papier
djp,Japans papier
dko,koperplaat
dkp,Kalkpapier
dkr,kardoespapier
dkt,karton
dlb,linnen band
dli,linnen
dlp,gelijnd papier OR papier op paneel
dmd,mdf
dmp,gemarmerd papier
dpa,paneel
dpb,perkamenten band
dpd,papier op doek
dpk,Papier op karton
dpm,perkament
dpp,Papier
dpr,papier op papier
drp,geruit papier
dsb,schetsboek
dsp,spaanderplaat
dtp,triplex
dun,unalit
dvp,vergépapier
dzi,zink
dzy,zijde
