ResourceID,card,Object Number,Image URL
d5dbec82-bdeb-524c-94bc-4b62787ed323,e22_Images,MMB.A.1618_#1,https://dams.antwerpen.be/asset/B2PIbHsZ6MsE8Ph7OTAOqrZe
823b6c49-a58d-5d8e-b685-19a987776792,e22_Images,MMB.A.2501_#1,https://dams.antwerpen.be/asset/z2qUZWhjBRHOOXXP4ZkrS3C9
798f392f-e22e-57b2-8a76-e4e4d40cb162,e22_Images,MMB.A.2502_#1,https://dams.antwerpen.be/asset/sNZREXPPJXHTZccfToSs5Dd8
b5790776-fd64-546d-9478-daf1741b4264,e22_Images,MMB.A.2503_#1,https://dams.antwerpen.be/asset/Z2RcVPBEOmhiZbBCVSsgkptJ
d5f5fe12-2d41-5319-b61a-b9703d6061da,e22_Images,MMB.A.2504_#1,https://dams.antwerpen.be/asset/tZhKQHXIWVWRI9ImlHuj6HhR
f996dd26-5579-5ab9-acbd-3c16885f36f7,e22_Images,MMB.A.2505_#1,https://dams.antwerpen.be/asset/U2RdHbxnxvTvSVhbWcSdoB6h
b3224193-8e5b-579c-b3bc-cffd6b49bfdb,e22_Images,MMB.A.2506_#1,https://dams.antwerpen.be/asset/F1jTDLWqGZXldchSWJpCHSn3
03625fc9-2e56-5ec9-8053-506d8ed15f9a,e22_Images,MMB.A.2507_#1,https://dams.antwerpen.be/asset/lPIFQRb67KChKlqIhebpESCQ
6ce345d6-69b6-543d-982e-9d548457cb61,e22_Images,MMB.A.2508_#1,https://dams.antwerpen.be/asset/M1BcUbrY9XPRU8QgSUmcP51V
bccc870a-d3ec-576b-8c28-fd8f00109c40,e22_Images,MMB.A.2509_#1,https://dams.antwerpen.be/asset/AlYiUUclEMf6JoOrozlJLCpm
e6d3ac45-70fd-5bbe-afa4-067ba750dc9c,e22_Images,MMB.A.2510_#1,https://dams.antwerpen.be/asset/r1mYULUioHUdjUVUOiWmDZdM
2fa5edb3-f003-5e0e-b6ee-e8879896defc,e22_Images,MMB.A.2511_#1,https://dams.antwerpen.be/asset/d1YAbXmRksRcBlTBgRxitwjL
c0f16f97-7d44-517b-b610-34621f05947a,e22_Images,MMB.A.2512_#1,https://dams.antwerpen.be/asset/h2UGHGOMBRnpUZKYmpXIM4zP
2a61ed59-0b9a-5979-a767-8afccd260f05,e22_Images,MMB.A.2513_#1,https://dams.antwerpen.be/asset/d1tiChgUNVWXRWrcRRoVHVk7
