ResourceID,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier
b53c42cd-4ff0-5756-8452-1bee8457fa4b,originators (administrative),,,
bb17c032-6f60-5f0b-912e-e40b04b34c92,originators (administrative),,,
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,originators (administrative),,,
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,writers (clerical workers),,,
15565c71-b2cd-5925-96bd-2d1dc9c6594c,originators (administrative),,,
15565c71-b2cd-5925-96bd-2d1dc9c6594c,recipients (people),,,
15565c71-b2cd-5925-96bd-2d1dc9c6594c,writers (clerical workers),,,
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,recipients (people),,,
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,writers (clerical workers),,,
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,writers (clerical workers),,,
37ac54a3-dbd8-57c5-a087-f9ce10695b74,originators (administrative),,,
37ac54a3-dbd8-57c5-a087-f9ce10695b74,recipients (people),,,
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,originators (administrative),,,
3f795fa8-cc5d-5283-b74a-0c34a482ecb5,recipients (people),,,
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,originators (administrative),,,
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,recipients (people),,,
6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,writers (clerical workers),,,
b6304530-6a87-5347-9b7d-b19b2c8b3058,originators (administrative),,,
104e5c79-fa17-5407-9624-7a1a766e5e7a,originators (administrative),,,
104e5c79-fa17-5407-9624-7a1a766e5e7a,recipients (people),,,
d50ee4cb-6651-5557-acce-2d595c5b4a1c,originators (administrative),,,
d50ee4cb-6651-5557-acce-2d595c5b4a1c,writers (clerical workers),,,
4273c440-cdfe-501d-8c83-ff13c44d9749,originators (administrative),,,
4273c440-cdfe-501d-8c83-ff13c44d9749,writers (clerical workers),,,
ca8f2c8a-fb64-54bf-8f9e-6fd074c85afb,recipients (people),,,
ca8f2c8a-fb64-54bf-8f9e-6fd074c85afb,writers (clerical workers),,,
0cad9f75-d711-50d7-bc82-e732f4934b9b,originators (administrative),,,
0cad9f75-d711-50d7-bc82-e732f4934b9b,writers (clerical workers),,,
17ce37f3-2c79-57d4-8960-c47e070940c8,originators (administrative),,,
43482195-5159-578d-b5da-b82690322996,originators (administrative),,,
43482195-5159-578d-b5da-b82690322996,recipients (people),,,
3edf4793-aa96-512e-975f-546d5ff7d2c8,recipients (people),,,
3edf4793-aa96-512e-975f-546d5ff7d2c8,writers (clerical workers),,,
2e9d3b70-cc3d-565d-90fc-598ac9a3b00e,originators (administrative),,,
8c420f55-ad09-5eba-91f5-85eae0f79b7f,originators (administrative),,,
8c420f55-ad09-5eba-91f5-85eae0f79b7f,recipients (people),,,
8c420f55-ad09-5eba-91f5-85eae0f79b7f,writers (clerical workers),,,
9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,originators (administrative),,,
