ResourceID,card,order,source_field,Description,Description Type,Description Language
7fe9f34b-931c-519f-a3ea-9002c5fffb78,Descriptions,1,id.desc,Harry Kahan aan E. de Bom,descriptive note,Nederlands
91b16930-de8e-55a0-bcfa-b1a417332eff,Descriptions,1,id.desc,Brieven van Gabriel Belot,descriptive note,Nederlands
90751e79-fac7-5169-8bad-90fea2fb6fd7,Descriptions,1,id.desc,'Brian' aan Chris Emlyn-Jones (?),descriptive note,Nederlands
672c8cdd-943b-5f6d-99a3-fb8dfc740397,Descriptions,1,id.desc,Brieven van Suzanne Degouve de Nuncques,descriptive note,Nederlands
314b9948-58bb-5492-992d-47e3bc33595d,Descriptions,1,id.desc,"Deze brief van NACHER ,Edouard,P. mevr.P.",descriptive note,Nederlands
8f94caa4-5012-52df-bdfb-93dab13ba155,Descriptions,1,id.desc,"Brief van Cleeren, J.G.",descriptive note,Nederlands
6e3f44f0-1171-5518-83d4-7c8434c6f2c3,Descriptions,1,id.desc,Vier brieven i.v.m. heropbouw Rubenshuis. Mogelijk te maken met wereldtentoonstelling Brussel,descriptive note,Nederlands
0c504cd4-f61d-593c-bb62-97b0001ca7b6,Descriptions,1,id.desc,Antoinette de Bom aan Emmanuel de Bom,descriptive note,Nederlands
4597ac83-fdce-5753-9406-a46ffd9e172f,Descriptions,1,id.desc,"Brief aan Juffrouw Verhoeven, de secretaresse van René Goris",descriptive note,Nederlands
15f81591-770a-52ea-8f10-e51b4a91f725,Descriptions,1,id.desc,brief van Adolf Spemann,descriptive note,Nederlands
f9b4e32c-3a4d-5318-a6b1-53188d695404,Descriptions,1,id.desc,Brieven van Paul Fierens aan E. de Bom,descriptive note,Nederlands
f8f11d86-cf4c-5a5a-854e-ab4b71b190a7,Descriptions,1,id.desc,Brieven van August van Cauwelaert (Dietsche Warande en Belfort),descriptive note,Nederlands
e6a31841-2e4e-5267-a0b5-660ae33eecaa,Descriptions,1,id.desc,Brieven van Fédération Nationale des Cercles Dramatiques de Langue Française,descriptive note,Nederlands
f3c7e152-e1e3-5264-9a88-b0690050f89a,Descriptions,1,note.lhcontentbr,Briefje van Digne met aantekeningen van Jan Emiel Daele.,detailbeschrijving,Nederlands
eff2b4c6-bed8-5090-b2a8-78c8beffb377,Descriptions,1,id.desc,Brief aan zijn familie,descriptive note,Nederlands
cae358b3-9a75-5852-90d7-b5e16befe49e,Descriptions,1,id.desc,Brieven van Louis van Dyck.,descriptive note,Nederlands
332d7cc7-463c-59f1-9f08-78efae3be366,Descriptions,1,id.desc,Briefwisseling met Fondation Rubens,descriptive note,Nederlands
7f767cce-f696-529b-b5f6-28dfafeb6501,Descriptions,1,id.desc,Brieven van Bavaux,descriptive note,Nederlands
38ce8c18-9298-59e0-881d-d56de48e2faa,Descriptions,1,id.desc,brief van Anton Kippenberg,descriptive note,Nederlands
51042989-6897-536d-99c2-8bd02ddd1b5b,Descriptions,1,id.desc,Deze brief van J.DE Muynck .,descriptive note,Nederlands
a05c245f-bc7c-55ea-be0e-76a20b0a0e36,Descriptions,1,id.desc,Brief van André Lhote,descriptive note,Nederlands
14c7e904-0e57-513f-9064-728889f33535,Descriptions,1,id.desc,Brief van N. Heyndrickse,descriptive note,Nederlands
301fe9ad-2145-58c9-8062-57ddc01d538f,Descriptions,1,note.lhcontentbr,"Namens de redactie van """"Zie"""" zendt Jet Jorssen een verhaal terug aan A.K. Rottiers. Het komt niet in aanmerking voor publicatie in het blad.",detailbeschrijving,Nederlands
0e28756d-5cac-5884-8168-f7857705e873,Descriptions,1,id.desc,M. Hoebeke (KANTL) aan Hubert Lampo,descriptive note,Nederlands
9a4a1c65-a514-5045-a179-7c3d41f3d581,Descriptions,1,id.desc,"Brief van Wauters,Abbe.",descriptive note,Nederlands
f881b640-d348-56a6-a2d8-4bf65cd7700c,Descriptions,1,id.desc,Brief van J.H. de Bois,descriptive note,Nederlands
74bcf0de-20a2-57bf-ba6c-48edbba19947,Descriptions,1,id.desc,Brief aan W.F.C. Timmermans,descriptive note,Nederlands
497a05dc-c864-5146-ad5a-66f5ca5e164b,Descriptions,1,id.desc,Emmanuel de Bom aan Clara Gaesch,descriptive note,Nederlands
85b6cd3c-d7a6-5385-9590-7bcd1cd91980,Descriptions,1,id.desc,Brieven van Florette Morand,descriptive note,Nederlands
fcbc79d0-6b8f-5afe-abe7-204a923d249f,Descriptions,1,id.desc,Brief van André Favory,descriptive note,Nederlands
22400a84-3160-5a25-acf6-c435881edfd7,Descriptions,1,id.desc,Brieven van Guilherme de Almeida,descriptive note,Nederlands
eaa3582f-d440-5dbf-81e6-ee592ccbc7d3,Descriptions,1,id.desc,Brief van Rita Smets,descriptive note,Nederlands
47ba07f0-827e-5312-8140-a184952ce107,Descriptions,1,id.desc,Aan de weduwe van de Lakense toneelschrijver Jan Bollen,descriptive note,Nederlands
b94ba7a7-ebc5-5dd7-9397-f248042f113a,Descriptions,1,id.desc,"Briefje van Henny Riemens, de vrouw van Corneille",descriptive note,Nederlands
70cd0555-ddbe-5d2d-8b16-6d20648c6482,Descriptions,1,id.desc,Brief van Y. Y. van Brederode aan Van Duyse.,descriptive note,Nederlands
490fa89c-f52b-5804-b51f-c68105b98457,Descriptions,1,id.desc,"Uit bundel gedemonteerde stukken. Briefwisseling met Rooses uit Brussel, Huy, Kopenhagen over werken van Rubens.",descriptive note,Nederlands
1f207b0a-e9a8-5adf-a6f5-80a7619d883b,Descriptions,1,id.desc,Brief van Jean Mirande,descriptive note,Nederlands
2f010086-a305-5b63-9c72-5bad3b680dcd,Descriptions,1,id.desc,Brief aan Eugeen de Bock,descriptive note,Nederlands
3f59992f-fbde-582f-a91a-f0d8153d568a,Descriptions,1,id.desc,Brieven van P. de Haas,descriptive note,Nederlands
221fb89c-4d5d-593f-825f-97de6714f8e3,Descriptions,1,id.desc,Brieven van Leo Augusteyns,descriptive note,Nederlands
4f8ee6d5-57a5-5452-8457-fc1d2e79d78d,Descriptions,1,id.desc,P. Verdoes [Nieuwe Rotterdamsche Courant] aan E. de Bom,descriptive note,Nederlands
c7843edd-6e4a-5547-bd2e-c13d1f346abc,Descriptions,1,id.desc,Briefwisseling met Bart Kalman,descriptive note,Nederlands
5f965a59-9308-5d30-ab55-e5b1174feaf5,Descriptions,1,id.desc,brief van CARNE DHEJSSELAERE de Ridder,descriptive note,Nederlands
d78d313b-a04f-52ad-97a0-5d82c8e7f64c,Descriptions,1,id.desc,Brief van Léon Duesberg,descriptive note,Nederlands
