ResourceID,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier
92b6bc82-97d3-511b-b41e-09c0ea48083e,artists (visual artists),ontwerper,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,artists (visual artists),,,
8386be2c-d073-50f9-b5c8-923ae1460715,artists (visual artists),,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,artists (visual artists),,,
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,artists (visual artists),,,
b352a12a-d714-52f2-894d-3f3bd5481d42,artists (visual artists),AVN monogram links onderaan,,
b7844246-831e-5339-bb8e-494ce76fca52,artists (visual artists),,,
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,artists (visual artists),Vermoedelijke kunstenaar,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,artists (visual artists),,,
7179bdd9-690d-53ab-a1bf-99848c8138b2,artists (visual artists),,,
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,artists (visual artists),,,
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,artists (visual artists),,,
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,artists (visual artists),,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,artists (visual artists),Vermoedelijke kunstenaar,,
f9f1deb6-85f5-53d9-b775-253f66648d52,artists (visual artists),,,
251d4f80-80c8-5190-a8e5-e63866de74cd,artists (visual artists),AVN monogram midden onderaan,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,artists (visual artists),,,
