card,from,to,constants,function,args,include_in_source_field,include_in_card
Single Values,brocade.id,Object Number,[{'Object Number Type': 'repository numbers'}],,,,
Single Values,brocade.subtype,Record Type,,column_lookup,[{'lookup_file': 'record_types.csv'}],,
Single Values,static.name,Keeper,,add_static,"[{'type': 'string', 'key': 'name'}]",,
Single Values,brocade.uuid,ResourceID,,,,,
Single Values,brocade.ark.id,Object Identifier,[{'Object Identifier Type': 'object identifier'}],add_ark_id,[{'url': 'data.digipolis.be/'}],,
TimeSpans,id/date.creationdate/so,Date,,,,,
TimeSpans,id/date.creationdate/tr,Date Type,,,,,
TimeSpans,id/date.creationdate/sr,Date Note,"{'Type': 'production date note', 'Language': 'Nederlands'}",,,,
TimeSpans,id/date.exposure/so,Date,,,,,
TimeSpans,id/date.exposure/tr,Date Type,,,,,
TimeSpans,id/date.exposure/sr,Date Note,"{'Type': 'production date note', 'Language': 'Nederlands'}",,,,
ProductionActors,ire.isaar.uuid,Production Actor Identifier,,,,,
ProductionActors,ire.isaar.name,Production Actor Name,,,,,
ProductionActors,ire.isaar.capacity,Production Actor Capacity,,,,,
ProductionActors,ire.role,Production Actor Role,,,,,
ProductionActors,ire.markdown,Production Actor Note,,,,,
ProductionActors,ire.isaar.id,Production Actor ID,,,,,
Places,id/place.place,function,,,,,
ObjectTypes,kenmerken.lhgenrehs,Object Type,,,,"['bh', 'bp', 'dr', 'ln', 'mz', 'pz', 'sw', 'va', 'vs', 'vp']",
ObjectTypes,kenmerken.lhgenresc,Object Type,,,,"['gac', 'gas', 'gbr', 'gbs', 'gdm', 'gfh', 'gha', 'gis', 'gkp', 'gmd', 'gmk', 'gmq', 'gpl', 'gsf', 'gzb']",
ObjectTypes,kenmerken.lhtypebr,Object Type,,,,"['brbe', 'brbk', 'brci', 'brdd', 'brem', 'brfx', 'brgg', 'brkl', 'brlc', 'brpp', 'brtg', 'brtx', 'brvc']",
