ResourceID,card,order,Dimension Value,Dimension Type,Dimension Measurement Unit
456fc8e4-524f-59bb-a7be-d14de36f2633,Dimensions,1,"42,0",Height of work,Centimetres
456fc8e4-524f-59bb-a7be-d14de36f2633,Dimensions,1,"55,5",Width of work,Centimetres
b7413771-a7fa-596e-a06c-03d3ae9a0146,Dimensions,1,"9,0",Height of work,Centimetres
b7413771-a7fa-596e-a06c-03d3ae9a0146,Dimensions,1,"18,0",Width of work,Centimetres
059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,Dimensions,1,"51,0",Height of work,Centimetres
059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,Dimensions,1,"34,0",Width of work,Centimetres
427907aa-7f3e-50f7-9387-3e29bd48c71a,Dimensions,1,"33,0",Height of work,Centimetres
427907aa-7f3e-50f7-9387-3e29bd48c71a,Dimensions,1,"21,0",Width of work,Centimetres
26d15d9f-8e01-5ff2-a090-290a3e04e7ee,Dimensions,1,"34,5",Height of work,Centimetres
26d15d9f-8e01-5ff2-a090-290a3e04e7ee,Dimensions,1,"21,5",Width of work,Centimetres
15405e4c-0613-5379-af4d-8bcb245b1c8a,Dimensions,1,"42,2",Height of work,Centimetres
15405e4c-0613-5379-af4d-8bcb245b1c8a,Dimensions,1,"29,5",Width of work,Centimetres
2a606f69-d1f0-50b8-8f44-7086fdfb5192,Dimensions,1,"26,0",Height of work,Centimetres
2a606f69-d1f0-50b8-8f44-7086fdfb5192,Dimensions,1,"20,0",Width of work,Centimetres
2f494987-7310-568e-b620-d6b4d2bfb7fa,Dimensions,1,"25,0",Height of work,Centimetres
2f494987-7310-568e-b620-d6b4d2bfb7fa,Dimensions,1,"16,0",Width of work,Centimetres
40cadf49-e4e7-5318-844b-e0bb6dabf084,Dimensions,1,"47,0",Height of work,Centimetres
40cadf49-e4e7-5318-844b-e0bb6dabf084,Dimensions,1,"38,0",Width of work,Centimetres
81d84b57-a4fc-5c60-b2c3-47de56f39ae2,Dimensions,1,"35,0",Height of work,Centimetres
81d84b57-a4fc-5c60-b2c3-47de56f39ae2,Dimensions,1,"22,5",Width of work,Centimetres
e95fb31c-c6e2-5e2b-ae1a-f2cfdec9a202,Dimensions,1,"32,0",Height of work,Centimetres
e95fb31c-c6e2-5e2b-ae1a-f2cfdec9a202,Dimensions,1,"26,0",Width of work,Centimetres
23f8431b-f020-57bb-91ea-ed09ad6889b0,Dimensions,1,"27,5",Height of work,Centimetres
23f8431b-f020-57bb-91ea-ed09ad6889b0,Dimensions,1,"21,0",Width of work,Centimetres
5e18b11d-9552-5be5-bdd5-f066bb83ac2a,Dimensions,1,"27,5",Height of work,Centimetres
5e18b11d-9552-5be5-bdd5-f066bb83ac2a,Dimensions,1,"41,0",Width of work,Centimetres
7a147273-2429-5e4e-a392-51a4e47e288c,Dimensions,1,"33,5",Height of work,Centimetres
7a147273-2429-5e4e-a392-51a4e47e288c,Dimensions,1,"26,5",Width of work,Centimetres
593fc908-609c-520b-b9d3-4e87b294522e,Dimensions,1,"27,0",Height of work,Centimetres
593fc908-609c-520b-b9d3-4e87b294522e,Dimensions,1,"21,0",Width of work,Centimetres
fb671c44-4a86-578a-b696-7f7f32f7db62,Dimensions,1,"27,0",Height of work,Centimetres
fb671c44-4a86-578a-b696-7f7f32f7db62,Dimensions,1,"37,5",Width of work,Centimetres
6f99b456-af1c-54f2-a937-398e90af2c11,Dimensions,1,"27,0",Height of work,Centimetres
6f99b456-af1c-54f2-a937-398e90af2c11,Dimensions,1,"21,0",Width of work,Centimetres
52d34adf-3a0c-5b54-8a39-7cd399a028d2,Dimensions,1,"12,3",Height of work,Centimetres
52d34adf-3a0c-5b54-8a39-7cd399a028d2,Dimensions,1,"20,4",Width of work,Centimetres
b8b5409c-91ae-59d4-8b50-db012a9ff53a,Dimensions,1,"21,5",Height of work,Centimetres
