ResourceID,card,Start Date,End Date
6d1d92be-e70f-5b5e-b38c-2e01eab180d4,e22_ProductionTimeSpans,1879-01-02,
207f70c0-f5f4-53dc-b744-a9c6285ac755,e22_ProductionTimeSpans,1884-01-22,
0da3efe2-2a75-52fc-9fc9-8d247f53d144,e22_ProductionTimeSpans,1884-04-02,
42f7132d-abaf-5239-a1bc-ab6d750a806b,e22_ProductionTimeSpans,1884-04-05,
f962a591-a006-5498-b96d-26bbe01c3c46,e22_ProductionTimeSpans,1884-05-09,
fd77d97e-c46a-5165-80d3-16f40bae3c2b,e22_ProductionTimeSpans,1884-05-21,
a562543c-4244-5348-8cb3-d4a785dff5e7,e22_ProductionTimeSpans,1884-05-31,
efd8e5d6-e538-5bba-b50b-7dd1abb30b76,e22_ProductionTimeSpans,1884-06-25,
81b650c6-a859-5ab8-8dc1-0e1e0c3bd6c6,e22_ProductionTimeSpans,1885-01-17,
9e281934-a52e-50af-96b2-373b1d9d1db6,e22_ProductionTimeSpans,1885-02-28,
adb67cde-0a6f-5e53-ab70-01394694a09e,e22_ProductionTimeSpans,1885-04-08,
3257aeb2-76f0-5e41-89ae-2f50b7ad69cf,e22_ProductionTimeSpans,1885-06-02,
3a3746a4-32ad-5272-bb25-e83476253ae8,e22_ProductionTimeSpans,1885-06-03,
916f3930-cb9a-5347-a5e9-7822ea6fdf5c,e22_ProductionTimeSpans,1887-09-04,
168b5add-69fd-5ccd-97e4-dd608c2c0f5b,e22_ProductionTimeSpans,1887-11-uu,
feb39f9a-b76b-535b-ac12-dc2734b87e26,e22_ProductionTimeSpans,1888-01-02,
86d0269c-1ea8-59c8-9660-53f8e172a6c5,e22_ProductionTimeSpans,1888-01-18,
6a141da9-8a81-5e8f-bc66-e7e99f8d9754,e22_ProductionTimeSpans,1888-01-26,
87dca3b3-cce8-595a-bcc3-20906348b35c,e22_ProductionTimeSpans,1888-02-08,
2315115c-20e9-5c8e-92bf-ad44504da815,e22_ProductionTimeSpans,1888-03-08,
83e65859-caae-5ca4-ae04-d70155c5909c,e22_ProductionTimeSpans,1888-03-27,
eca8218d-61a3-5b75-85f5-980cd57a9008,e22_ProductionTimeSpans,1888-03-28,
125efec3-acd2-526f-861a-a425b69f9cce,e22_ProductionTimeSpans,1888-04-04,
d86c6060-f502-5cad-b232-19530a72b984,e22_ProductionTimeSpans,1888-04-15,
aecd91d8-1230-541d-8014-0c191dfdcab5,e22_ProductionTimeSpans,1888-04-16,
6023d98e-6ab3-5142-87ff-54e92ae0f803,e22_ProductionTimeSpans,1888-04-26,
45622a69-296c-5b7c-8729-e94e7deb313c,e22_ProductionTimeSpans,1888-05-02,
c73e0a1b-e7eb-5d6f-892c-a6638053a3ff,e22_ProductionTimeSpans,1888-05-09,
d773cd6c-97f8-51e4-bc2e-5c811ee5cb41,e22_ProductionTimeSpans,1888-05-11,
8267d67d-bd87-5db1-b4a8-9d79f54d0816,e22_ProductionTimeSpans,1888-05-18,
16ac096f-eeb8-5af7-86d4-b4e0b133fe9a,e22_ProductionTimeSpans,1888-05-18,
f93329d7-01a6-582c-bf76-c4c5ebe82749,e22_ProductionTimeSpans,1888-05-22,
16c088ee-f71e-54f9-a4cd-66eb7b66d0cf,e22_ProductionTimeSpans,1888-05-22,
694e1f90-c69f-512e-b6b9-b7070b604b0a,e22_ProductionTimeSpans,1888-06-01,
fdeee906-b0de-577b-84e1-01ce091e304a,e22_ProductionTimeSpans,1888-06-07,
1f9ef476-b67e-5153-93bb-4d449f700ed5,e22_ProductionTimeSpans,1888-06-07,
a20a4bf5-601c-58c5-bf78-465a3be12739,e22_ProductionTimeSpans,1888-06-07,
a3adcdb2-30c6-5870-a9b2-eac1746fd71b,e22_ProductionTimeSpans,1888-06-09,
bd85ebf3-4e77-512b-bb3e-d84181a71eab,e22_ProductionTimeSpans,1888-06-10,
3e39b60a-5d40-5fec-918c-bd3f38dc5ab8,e22_ProductionTimeSpans,1888-06-11,
a18920ff-2b14-5899-8f0f-8798c81b482a,e22_ProductionTimeSpans,1888-06-12,
3e14fec4-d891-5b41-960a-7de99a26fc34,e22_ProductionTimeSpans,1888-06-16,
ec358a00-364f-51fd-ae13-f9b67ce1951d,e22_ProductionTimeSpans,1888-06-18,
