ResourceID,card,External Relation URL Prefix,External Relation URL,External Relation URL Type
eae7745a-9f9c-5e6c-9cc3-5e9a1d0b4825,e73_Languages,https://dams.antwerpen.be,/asset/G2VMrWRFYvFGIOOTLPNElwYs,DAMS Archief
c2f2bae1-a67b-513f-b735-cb3d5b36eb63,e73_Languages,https://dams.antwerpen.be,/asset/G2VMrWRFYvFGIOOTLPNElwYs,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_Languages,https://dams.antwerpen.be,/asset/X2MIIPWUSP4oEZMV7YkRkaBG,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_Languages,https://dams.antwerpen.be,/asset/G2VMrWRFYvFGIOOTLPNElwYs,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_Languages,https://dams.antwerpen.be,/zoeken,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_Languages,https://dams.antwerpen.be,/zoeken,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_Languages,https://dams.antwerpen.be,/zoeken,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_Languages,https://dams.antwerpen.be,/asset/O1lOJUKynW9TNBbCignKsrGR,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_Languages,https://dams.antwerpen.be,/asset/v1efdUKPQVacSRYbiZ2EoL9K,DAMS Archief
bbd62327-a257-5e38-b790-ab53a462d876,e73_Languages,https://dams.antwerpen.be,/asset/M1l4mEHUSvWQVmZcKj2gSOyh,DAMS Archief
ab07241e-2ffd-56cf-8d97-168c23b93822,e73_Languages,https://dams.antwerpen.be,/asset/k2JbrQGMASILgKbBQc3g8hlB,DAMS Archief
ab07241e-2ffd-56cf-8d97-168c23b93822,e73_Languages,https://dams.antwerpen.be,/asset/N1RmEBirmWJBZQMbOksS5vo8,DAMS Archief
a3ec9d01-bfe2-501f-8b82-2a146fc11a66,e73_Languages,https://dams.antwerpen.be,/asset/k2JbrQGMASILgKbBQc3g8hlB,DAMS Archief
a3ec9d01-bfe2-501f-8b82-2a146fc11a66,e73_Languages,https://dams.antwerpen.be,/asset/N1RmEBirmWJBZQMbOksS5vo8,DAMS Archief
f7e41eb2-650d-5bfa-a46e-14fd00fa7489,e73_Languages,https://dams.antwerpen.be,/asset/D1NSXRcqCyZbocSgWDPdGjML,DAMS Archief
f7e41eb2-650d-5bfa-a46e-14fd00fa7489,e73_Languages,https://dams.antwerpen.be,/asset/K2deXnYTYQWeRcZNMnyP5GcS,DAMS Archief
f7e41eb2-650d-5bfa-a46e-14fd00fa7489,e73_Languages,https://dams.antwerpen.be,/asset/X16fIGgcKAJQKUlTtNKUcwZ9,DAMS Archief
6e37c57a-1e06-5e63-a473-510ab3bb0a35,e73_Languages,https://dams.antwerpen.be,/asset/K2AIgIbBGujaPSebVTgq4wjR,DAMS Archief
1a4f67fb-b47a-5706-b748-71b9b1a5d5d2,e73_Languages,https://dams.antwerpen.be,/asset/r1KUU9WqqKFxtnbdLIDB5qHT,DAMS Archief
1a4f67fb-b47a-5706-b748-71b9b1a5d5d2,e73_Languages,https://dams.antwerpen.be,/asset/w1sjGNDUi8gPRumURNOhgYup,DAMS Archief
1a4f67fb-b47a-5706-b748-71b9b1a5d5d2,e73_Languages,https://dams.antwerpen.be,/asset/m1JidPYhXeTTqbgXEdN1lkOW,DAMS Archief
3a3f53a5-bcda-5405-9d18-99f295ad06e3,e73_Languages,https://dams.antwerpen.be,/asset/wBQugeraLLSXGTFXYbh4UHL7,DAMS Archief
3a3f53a5-bcda-5405-9d18-99f295ad06e3,e73_Languages,https://dams.antwerpen.be,/asset/rMLBXiuYS2aELUMNXUtkauE0,DAMS Archief
3a3f53a5-bcda-5405-9d18-99f295ad06e3,e73_Languages,https://dams.antwerpen.be,/asset/V1RARAuOTnRdoBRtNLYLiWO6,DAMS Archief
3a3f53a5-bcda-5405-9d18-99f295ad06e3,e73_Languages,https://dams.antwerpen.be,/asset/Llb7ickPWOSWiKjZD89goy4D,DAMS Archief
3a3f53a5-bcda-5405-9d18-99f295ad06e3,e73_Languages,https://dams.antwerpen.be,/asset/I1leKWI7QUKXcVaCab72ZkVu,DAMS Archief
3a3f53a5-bcda-5405-9d18-99f295ad06e3,e73_Languages,https://dams.antwerpen.be,/asset/N1U5LUgVXuSUefBjtDjrG4rr,DAMS Archief
3a3f53a5-bcda-5405-9d18-99f295ad06e3,e73_Languages,https://dams.antwerpen.be,/asset/DPvVUwFQHbOfTbCPMcUViaX8,DAMS Archief
3a3f53a5-bcda-5405-9d18-99f295ad06e3,e73_Languages,https://dams.antwerpen.be,/asset/D1lDLYPMfqMsbLUZoP2qrZDF,DAMS Archief
3a3f53a5-bcda-5405-9d18-99f295ad06e3,e73_Languages,https://dams.antwerpen.be,/asset/TbUvZbZLN7C4taDlOdmbVGid,DAMS Archief
a704eae3-9812-58cd-acdf-3cf49f4103fd,e73_Languages,https://dams.antwerpen.be,/asset/Q1aTNpSYPWKpQYWhRJwoJtUH,DAMS Archief
6318de32-95bd-539b-a93a-b346324d3dae,e73_Languages,https://dams.antwerpen.be,/asset/Z1UlT6bJWSISULgbSE1ZXNIc,DAMS Archief
5007fdad-db8a-54f9-aca4-da6899bf7dc2,e73_Languages,https://dams.antwerpen.be,/asset/Z1UlT6bJWSISULgbSE1ZXNIc,DAMS Archief
b61be2d7-1599-5330-91ce-23c3b2318746,e73_Languages,https://dams.antwerpen.be,/asset/Z1UlT6bJWSISULgbSE1ZXNIc,DAMS Archief
22330fe3-3424-5af6-9eb4-343e80e74c6b,e73_Languages,https://dams.antwerpen.be,/asset/Z1UlT6bJWSISULgbSE1ZXNIc,DAMS Archief
4e8e8447-e7c4-5f17-be72-f5cd5d6faa82,e73_Languages,https://dams.antwerpen.be,/asset/cFWlOaOXJ7ZUDTE8n6xUDlGJ,DAMS Archief
4199d715-1390-5d2b-852e-a656ee4f88d9,e73_Languages,https://dams.antwerpen.be,/asset/cFWlOaOXJ7ZUDTE8n6xUDlGJ,DAMS Archief
4199d715-1390-5d2b-852e-a656ee4f88d9,e73_Languages,https://dams.antwerpen.be,/asset/s1gYNYUEGN2SReiwXOIZPHwe,DAMS Archief
ede83495-af15-5004-a239-bdc3b1901608,e73_Languages,https://dams.antwerpen.be,/asset/e1oddWaIhTQBecCRQgimhETP,DAMS Archief
208fc728-b036-5b51-a9ab-b3039bc766d3,e73_Languages,https://dams.antwerpen.be,/asset/RZGYTbRWbYrVKjI3WmWlb0Ww,DAMS Archief
a0abf2fd-b2a1-5710-973f-105591269cc1,e73_Languages,https://dams.antwerpen.be,/asset/Z2EBRJbnPsjRPOJpUQrYBCCa,DAMS Archief
20c58fc0-bc35-57ae-be2f-0379c41adba5,e73_Languages,https://dams.antwerpen.be,/asset/RZGYTbRWbYrVKjI3WmWlb0Ww,DAMS Archief
2216b40e-939e-512c-b3e0-b4e8ec23f367,e73_Languages,https://dams.antwerpen.be,/asset/RZGYTbRWbYrVKjI3WmWlb0Ww,DAMS Archief
6f4a344a-811d-589f-90ef-db4758be858c,e73_Languages,https://dams.antwerpen.be,/asset/W1tw698TZPJSB7LRRWFYFdBd,DAMS Archief
8df04406-438e-5709-b8ec-ee9752a73429,e73_Languages,https://dams.antwerpen.be,/asset/c248T1eNBajQehgNqSVBcMLn,DAMS Archief
21f8dd85-7ac9-51be-8775-4d70724178b1,e73_Languages,https://dams.antwerpen.be,/asset/GKjTjUcdnNV9amsDXFG2c8Xn,DAMS Archief
21f8dd85-7ac9-51be-8775-4d70724178b1,e73_Languages,https://dams.antwerpen.be,/asset/K1GJrlIYCYLDONZEhW2kTbCp,DAMS Archief
21f8dd85-7ac9-51be-8775-4d70724178b1,e73_Languages,https://dams.antwerpen.be,/asset/HginWaFTjiYcTsWjiG8DC0lG,DAMS Archief
21f8dd85-7ac9-51be-8775-4d70724178b1,e73_Languages,https://dams.antwerpen.be,/asset/dTFsQjJiWWVHHOTcEX5tFYYr,DAMS Archief
21f8dd85-7ac9-51be-8775-4d70724178b1,e73_Languages,https://dams.antwerpen.be,/asset/r1TWEmVPZRfrO7mJPP3gACLx,DAMS Archief
21f8dd85-7ac9-51be-8775-4d70724178b1,e73_Languages,https://dams.antwerpen.be,/asset/fNiKTfDfBEIVQIRKVn569vfP,DAMS Archief
4016d999-434a-5d78-9ee2-a9bd251ae9f7,e73_Languages,https://dams.antwerpen.be,/asset/t1UjOHFoGDAVCInerheZav60,DAMS Archief
4016d999-434a-5d78-9ee2-a9bd251ae9f7,e73_Languages,https://dams.antwerpen.be,/asset/b2akXOaBpGamgWXdUomLqTyg,DAMS Archief
dd1c8403-ebec-5d5f-a4c4-dc87b7450d3e,e73_Languages,https://dams.antwerpen.be,/asset/GKjTjUcdnNV9amsDXFG2c8Xn,DAMS Archief
dd1c8403-ebec-5d5f-a4c4-dc87b7450d3e,e73_Languages,https://dams.antwerpen.be,/asset/K1GJrlIYCYLDONZEhW2kTbCp,DAMS Archief
dd1c8403-ebec-5d5f-a4c4-dc87b7450d3e,e73_Languages,https://dams.antwerpen.be,/asset/HginWaFTjiYcTsWjiG8DC0lG,DAMS Archief
dd1c8403-ebec-5d5f-a4c4-dc87b7450d3e,e73_Languages,https://dams.antwerpen.be,/asset/dTFsQjJiWWVHHOTcEX5tFYYr,DAMS Archief
