ResourceID,card,Object Number,Start Date,End Date
405b7caf-d2f2-5068-a44b-ba394f5f0a91,e73_CreationTimeSpans,MMB.A.1181_#1,1906-07-01,
f6036e86-0166-5808-9189-c0c26d5410f3,e73_CreationTimeSpans,MMB.A.1182_#1,1904-10-01,
c743f8ad-5273-505d-9902-98e0d8b70d69,e73_CreationTimeSpans,MMB.A.1183_#1,1905-02-08,
796a12bf-5122-5732-a1cb-655926d70f56,e73_CreationTimeSpans,MMB.A.1184_#1,1905-02-12,
4ceb2769-fe26-542a-a857-0a9acad1c3c2,e73_CreationTimeSpans,MMB.A.1185_#1,1904-12-13,
dffc137e-0231-50cf-b575-b24db5b5ceae,e73_CreationTimeSpans,MMB.A.1186_#1,1905-03-09,
f7b71dfe-66fd-52ca-86d0-55ae341b2ede,e73_CreationTimeSpans,MMB.A.1187_#1,1903-03-04,1903-03-14
96f3347d-f9e7-5196-afbf-0aafc2e3c711,e73_CreationTimeSpans,MMB.A.1188_#1,1892-08-24,
abc42d53-dd32-5eed-95fb-0588ac1ed461,e73_CreationTimeSpans,MMB.A.1216_#1,1920-03-26,
ff049534-ddfe-593e-a7d3-fba13bfcad82,e73_CreationTimeSpans,MMB.A.1217_#1,1905-07-24,
719532e3-79c1-5ce9-8364-b33ca16fb009,e73_CreationTimeSpans,MMB.A.1218_#1,1904-12-11,
35abc2b4-069b-5656-a34a-6ce652cbb576,e73_CreationTimeSpans,MMB.A.1219_#1,1905-06-14,
7484ed31-4889-573e-9586-2bfd0ee917ef,e73_CreationTimeSpans,MMB.A.1220_#1,1914-04-18,
3dd67c9d-bb62-58c3-a4d8-fbe0075ae4e8,e73_CreationTimeSpans,MMB.A.1221_#1,1914-05-03,
d246a17b-bfbb-5c00-bab0-828ed7c0cb58,e73_CreationTimeSpans,MMB.A.1222_#1,1918-12-12,
b61f2ce9-d2db-50af-89da-dfcf6f9f1321,e73_CreationTimeSpans,MMB.A.1225_#1,1906-06-uu,
7cd7f2ee-f77c-5c81-bbd5-df2e13bdb1e7,e73_CreationTimeSpans,MMB.A.1226_#1,1914-05-uu,
8ad928c2-87c9-5818-af3c-a1518aa3ac92,e73_CreationTimeSpans,MMB.A.1228_#1,1914-05-uu,
3a50a0ae-60ee-524a-831f-9040e030bc16,e73_CreationTimeSpans,MMB.A.1229_#1,1914-01-28,
662d178e-97d0-5903-bf75-d338dd73483f,e73_CreationTimeSpans,MMB.A.1244_#1,1898-12-27,
c33cc2aa-8fbf-5d5b-ae7a-2789b2d3ea24,e73_CreationTimeSpans,MMB.A.1245_#1,uuuu-01-26,
bd825163-3600-56bd-aa53-a930496b3557,e73_CreationTimeSpans,MMB.A.1246_#1,uuuu-03-07,
f6dc7c94-84ab-5053-afa9-5ba64fb4ffa4,e73_CreationTimeSpans,MMB.A.1247_#1,uuuu-02-01,
73faa672-8f11-596a-915f-fbda3568511e,e73_CreationTimeSpans,MMB.A.1248_#1,uuuu-02-01,
5e7df2fe-3445-56b9-9f69-14fd5a347c31,e73_CreationTimeSpans,MMB.A.1249_#1,1899-01-19,
dd3279c0-579a-53e0-a6a4-92230cb4cdf8,e73_CreationTimeSpans,MMB.A.1250_#1,uuuu-01-25,
a447cbfc-8e09-5712-bb14-b9ccb42c7317,e73_CreationTimeSpans,MMB.A.1251_#1,uuuu-01-19,
662427ea-3260-5ccb-911b-a7fc395f5fcd,e73_CreationTimeSpans,MMB.A.1252_#1,1896-04-07,
76320a6f-924c-5e5d-b08e-97a02e9b9690,e73_CreationTimeSpans,MMB.A.1253_#1,1894-07-25,
e7707857-2e16-5736-8219-f0ac0e758542,e73_CreationTimeSpans,MMB.A.1254_#1,1897-12-04,
e06f8935-15b0-5df2-addb-1a956289ed9d,e73_CreationTimeSpans,MMB.A.1255_#1,1889-12-13,
713a6e05-af2c-520c-be63-071b9ba6de36,e73_CreationTimeSpans,MMB.A.1256_#1,1893-08-10,
c0219f3d-7de2-5cd7-9d72-0a17c742a9d2,e73_CreationTimeSpans,MMB.A.1257_#1,1888-04-16,
bdbb8770-0db0-57c0-b931-01a921efa2ac,e73_CreationTimeSpans,MMB.A.1258_#1,1897-11-06,
857c1d0d-4de8-5ab6-bd33-5904587bf83a,e73_CreationTimeSpans,MMB.A.1259_#1,1888-07-27,
ac411050-7235-51aa-8eea-0ce0213bc089,e73_CreationTimeSpans,MMB.A.1261_#1,1890-12-09,
4226121e-1035-5704-9eed-00db4a58f597,e73_CreationTimeSpans,MMB.A.1262_#1,1899-05-18,21/05/1899
4c3c7510-7b01-59a6-bf01-a30be52710a8,e73_CreationTimeSpans,MMB.A.1264_#1,1893-06-20,
a696f810-0512-5b0d-a01d-35689186f640,e73_CreationTimeSpans,MMB.A.1266_#1,1897-05-12,
70b80fe9-a458-5248-965c-e0154e998b88,e73_CreationTimeSpans,MMB.A.1267_#1,1890-07-08,
dc693af4-0428-5005-b76e-0b064847e13b,e73_CreationTimeSpans,MMB.A.1268_#1,1905-03-15,
