ResourceID,card,order,Keeper,Object Number,Object Identifier,archive_code,Warehouse Location (begin),Warehouse Location (end),Material,Production Technique Type,Object Type,Document status
7d4cffb0-6330-54df-809a-42ab905c1426,AA,0,Museum Mayer van den Bergh,MMB.A.1180_#1,https://data.MMB.be/ark:/24970/7d4cffb0-6330-54df-809a-42ab905c1426,MMB.A.I.B.2,Doos A.IX,,ink,handwriting,letters (correspondence),
405b7caf-d2f2-5068-a44b-ba394f5f0a91,AA,0,Museum Mayer van den Bergh,MMB.A.1181_#1,https://data.MMB.be/ark:/24970/405b7caf-d2f2-5068-a44b-ba394f5f0a91,MMB.A.I.B.2,Doos A.IX,,ink,handwriting,letters (correspondence),
f6036e86-0166-5808-9189-c0c26d5410f3,AA,0,Museum Mayer van den Bergh,MMB.A.1182_#1,https://data.MMB.be/ark:/24970/f6036e86-0166-5808-9189-c0c26d5410f3,MMB.A.I.B.2,Doos A.IX,,ink,handwriting,letters (correspondence),
c743f8ad-5273-505d-9902-98e0d8b70d69,AA,0,Museum Mayer van den Bergh,MMB.A.1183_#1,https://data.MMB.be/ark:/24970/c743f8ad-5273-505d-9902-98e0d8b70d69,MMB.A.I.B.2,Doos A.IX,,ink,handwriting,letters (correspondence),
796a12bf-5122-5732-a1cb-655926d70f56,AA,0,Museum Mayer van den Bergh,MMB.A.1184_#1,https://data.MMB.be/ark:/24970/796a12bf-5122-5732-a1cb-655926d70f56,MMB.A.I.B.2,Doos A.IX,,ink,handwriting,letters (correspondence),
4ceb2769-fe26-542a-a857-0a9acad1c3c2,AA,0,Museum Mayer van den Bergh,MMB.A.1185_#1,https://data.MMB.be/ark:/24970/4ceb2769-fe26-542a-a857-0a9acad1c3c2,MMB.A.I.B.2,Doos A.IX,,ink,handwriting,letters (correspondence),
dffc137e-0231-50cf-b575-b24db5b5ceae,AA,0,Museum Mayer van den Bergh,MMB.A.1186_#1,https://data.MMB.be/ark:/24970/dffc137e-0231-50cf-b575-b24db5b5ceae,MMB.A.I.B.2,Doos A.IX,,ink,handwriting,letters (correspondence),
f7b71dfe-66fd-52ca-86d0-55ae341b2ede,AA,0,Museum Mayer van den Bergh,MMB.A.1187_#1,https://data.MMB.be/ark:/24970/f7b71dfe-66fd-52ca-86d0-55ae341b2ede,MMB.A.I.B.2,Doos A.IX,,ink,handwriting,letters (correspondence),
96f3347d-f9e7-5196-afbf-0aafc2e3c711,AA,0,Museum Mayer van den Bergh,MMB.A.1188_#1,https://data.MMB.be/ark:/24970/96f3347d-f9e7-5196-afbf-0aafc2e3c711,MMB.A.I.E.1,Doos A.IX,,ink,handwriting,postcards,
abc42d53-dd32-5eed-95fb-0588ac1ed461,AA,0,Museum Mayer van den Bergh,MMB.A.1216_#1,https://data.MMB.be/ark:/24970/abc42d53-dd32-5eed-95fb-0588ac1ed461,MMB.A.I.B.2,Doos A.IX,,ink,handwriting,letters (correspondence),
