ResourceID,Connected Subject Role,Connected Subject Widget,Connected Subject Identifier
b98dfb4b-ddc7-5262-a97e-fca7bb5a7448,subjects (content of works),,
dfbc8449-4bd8-5e9d-9648-84c7ec93135b,subjects (content of works),,
e5ede363-fa92-5f5b-b3ae-f4ea7068d1e6,subjects (content of works),,
a5c68bf9-2e58-5814-9d19-833e94233043,subjects (content of works),,
679a9c5e-1fed-571c-9ec2-d03ce98744e1,subjects (content of works),,
3a4a6e88-0d04-5884-bf3c-4042f10a12e3,subjects (content of works),,
762447a9-824c-5a07-898e-ebc322400a02,subjects (content of works),,
944fde02-ca7e-52ef-9822-84e51d718a70,subjects (content of works),,
67c3fef9-eafb-5937-a0b6-b99140afee60,subjects (content of works),,
4d783568-5171-5ec3-9de0-a7f4e8a6e149,subjects (content of works),,
4d783568-5171-5ec3-9de0-a7f4e8a6e149,subjects (content of works),,
4d783568-5171-5ec3-9de0-a7f4e8a6e149,subjects (content of works),,
88fd91db-8254-5f18-a26e-d61d7a1e09ca,subjects (content of works),,
a928211f-3033-5718-b226-3eca00645212,subjects (content of works),,
b14e6bfd-a0c3-539a-a041-69af1709d6b3,subjects (content of works),,
e1beed10-b385-5076-b84c-6a74f2142a57,subjects (content of works),,
34b04a17-61e1-5eaf-bfe8-dd2d09b19c7d,subjects (content of works),,
bf838315-9e8c-5173-bd0e-7892f44662bb,subjects (content of works),,
2ef0a10d-53b5-5272-9d67-49aac714b4b1,subjects (content of works),,
a7a045a4-ec3f-5e34-b2cf-1f95bbc3cfd5,subjects (content of works),,
227553ed-15c6-5df4-9648-1951a746a2d0,subjects (content of works),,
227553ed-15c6-5df4-9648-1951a746a2d0,subjects (content of works),,
0bd49f48-72c5-51df-8240-aa188d07e01e,subjects (content of works),,
0bd49f48-72c5-51df-8240-aa188d07e01e,subjects (content of works),,
baa4145b-c0e8-5384-927a-e611220089ec,subjects (content of works),,
d18dd5d9-df61-52e1-850a-8be0f057af51,subjects (content of works),,
ae2dd5ce-8cbe-5c58-86cc-11ac53693d18,subjects (content of works),,
b522725d-95ea-5c78-b089-654d112011fe,subjects (content of works),,
b522725d-95ea-5c78-b089-654d112011fe,subjects (content of works),,
5d6a8688-8cef-5b56-82ed-940b3244f374,subjects (content of works),,
5d6a8688-8cef-5b56-82ed-940b3244f374,subjects (content of works),,
54b5f2ea-a317-52f6-9e89-b22272373c7e,subjects (content of works),,
90b652b1-6bcc-501f-8241-634c3d57bb1d,subjects (content of works),,
1ffcad0b-2f1e-5be4-aa0a-4968ba02b0c3,subjects (content of works),,
3a3118a3-13e0-5591-bd11-34820009b142,subjects (content of works),,
3a3118a3-13e0-5591-bd11-34820009b142,subjects (content of works),,
85f51dae-c6b8-57f9-ac39-86d9cb22174a,subjects (content of works),,
1c40ed88-3f19-56ef-9039-3388c6ddbba2,subjects (content of works),,
175a644f-ee14-50d0-a496-ae3d619abb9a,subjects (content of works),,
4ec824f6-b6a7-5f20-af0d-6273ea57cfa3,subjects (content of works),,
2b5c6d85-abd2-59f4-b8dc-2c971f7bd809,subjects (content of works),,
5a1ded94-2f58-5165-aef1-1afb89e89176,subjects (content of works),,
