ResourceID,card,order,Dimension Value,Dimension Type,Dimension Measurement Unit
d9198741-6a71-5c44-afb8-139f34d3de4f,Dimensions,1,"59,5",Height of work,Centimetres
d9198741-6a71-5c44-afb8-139f34d3de4f,Dimensions,1,"40,0",Width of work,Centimetres
9ad9e289-a225-5297-aa76-547f4a84f063,Dimensions,1,"53,5",Height of work,Centimetres
9ad9e289-a225-5297-aa76-547f4a84f063,Dimensions,1,"36,5",Width of work,Centimetres
8c9b9462-a190-5ab1-9502-2d241b79933c,Dimensions,1,"40,0",Height of work,Centimetres
8c9b9462-a190-5ab1-9502-2d241b79933c,Dimensions,1,"60,0",Width of work,Centimetres
f893fc70-00bb-5f5f-985e-0bf44213ce73,Dimensions,1,"42,0",Height of work,Centimetres
f893fc70-00bb-5f5f-985e-0bf44213ce73,Dimensions,1,"29,5",Width of work,Centimetres
21c98bbb-66e7-5700-a722-9e9133147c34,Dimensions,1,"55,0",Height of work,Centimetres
21c98bbb-66e7-5700-a722-9e9133147c34,Dimensions,1,"37,0",Width of work,Centimetres
a55f16dd-08d1-5f6e-87fa-f9ca9233c219,Dimensions,1,"43,0",Height of work,Centimetres
a55f16dd-08d1-5f6e-87fa-f9ca9233c219,Dimensions,1,"61,0",Width of work,Centimetres
f3cdb4a6-c5bd-504f-9edb-a6d043849d48,Dimensions,1,"86,0",Height of work,Centimetres
f3cdb4a6-c5bd-504f-9edb-a6d043849d48,Dimensions,1,"62,0",Width of work,Centimetres
4fd14fcc-cb1b-5d09-bdca-ade565a0171e,Dimensions,1,"63,0",Height of work,Centimetres
4fd14fcc-cb1b-5d09-bdca-ade565a0171e,Dimensions,1,"33,0",Width of work,Centimetres
30483822-d2b8-5522-91be-326506c8e801,Dimensions,1,"42,5",Height of work,Centimetres
30483822-d2b8-5522-91be-326506c8e801,Dimensions,1,"62,0",Width of work,Centimetres
62fe1480-2a29-52a7-a83d-48890c025ad3,Dimensions,1,"55,0",Height of work,Centimetres
62fe1480-2a29-52a7-a83d-48890c025ad3,Dimensions,1,"33,0",Width of work,Centimetres
48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,Dimensions,1,"40,0",Height of work,Centimetres
48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,Dimensions,1,"30,0",Width of work,Centimetres
c36ffa9b-bf17-5913-992c-9b5461962379,Dimensions,1,"46,5",Height of work,Centimetres
c36ffa9b-bf17-5913-992c-9b5461962379,Dimensions,1,"50,0",Width of work,Centimetres
2d138a5f-f57d-5dd6-a2ad-96899eabb14c,Dimensions,1,"55,0",Height of work,Centimetres
2d138a5f-f57d-5dd6-a2ad-96899eabb14c,Dimensions,1,"36,5",Width of work,Centimetres
54e487c2-d9a2-5bc9-9bfd-fff37c832817,Dimensions,1,"59,5",Height of work,Centimetres
54e487c2-d9a2-5bc9-9bfd-fff37c832817,Dimensions,1,"42,0",Width of work,Centimetres
8c9337a6-1fd9-51cd-9df9-d84d20144d84,Dimensions,1,"43,0",Height of work,Centimetres
8c9337a6-1fd9-51cd-9df9-d84d20144d84,Dimensions,1,"30,5",Width of work,Centimetres
73342a2f-8adb-5759-bf27-b4749aee9845,Dimensions,1,"59,5",Height of work,Centimetres
73342a2f-8adb-5759-bf27-b4749aee9845,Dimensions,1,"42,0",Width of work,Centimetres
528c7092-4e99-5cf9-be4f-7d9121f0906c,Dimensions,1,"60,0",Height of work,Centimetres
528c7092-4e99-5cf9-be4f-7d9121f0906c,Dimensions,1,"40,0",Width of work,Centimetres
8f37cfbe-cfae-53da-9474-1a3809bb9a7e,Dimensions,1,"42,5",Height of work,Centimetres
8f37cfbe-cfae-53da-9474-1a3809bb9a7e,Dimensions,1,"30,0",Width of work,Centimetres
b2906926-4eef-5eb2-8a1d-c9e1ae7ea664,Dimensions,1,"46,5",Height of work,Centimetres
b2906926-4eef-5eb2-8a1d-c9e1ae7ea664,Dimensions,1,"31,5",Width of work,Centimetres
8817d232-5930-56ae-ae0b-53760ded9232,Dimensions,1,"49,0",Height of work,Centimetres
8817d232-5930-56ae-ae0b-53760ded9232,Dimensions,1,"61,0",Width of work,Centimetres
cf2f2475-7f87-5466-a578-33c7e7be517e,Dimensions,1,"42,0",Height of work,Centimetres
cf2f2475-7f87-5466-a578-33c7e7be517e,Dimensions,1,"21,0",Width of work,Centimetres
b4fb8056-312b-5f94-a0f2-20110061834f,Dimensions,1,"67,0",Height of work,Centimetres
b4fb8056-312b-5f94-a0f2-20110061834f,Dimensions,1,"47,0",Width of work,Centimetres
abd1628e-c49b-5615-acf4-6a0e517fd9af,Dimensions,1,"60,0",Height of work,Centimetres
abd1628e-c49b-5615-acf4-6a0e517fd9af,Dimensions,1,"40,0",Width of work,Centimetres
81ed1814-e5a1-54d7-bb87-89c0b5c88837,Dimensions,1,"31,0",Height of work,Centimetres
81ed1814-e5a1-54d7-bb87-89c0b5c88837,Dimensions,1,"85,0",Width of work,Centimetres
a23d8928-a726-5918-b71d-996d5fee8a1b,Dimensions,1,"100,0",Height of work,Centimetres
a23d8928-a726-5918-b71d-996d5fee8a1b,Dimensions,1,"62,0",Width of work,Centimetres
adf89f7b-b008-50d5-a7eb-08e2c10e5d23,Dimensions,1,"43,0",Height of work,Centimetres
adf89f7b-b008-50d5-a7eb-08e2c10e5d23,Dimensions,1,"27,5",Width of work,Centimetres
e864df67-7a2f-5c56-9b5a-5095c9bea5c8,Dimensions,1,"46,0",Height of work,Centimetres
e864df67-7a2f-5c56-9b5a-5095c9bea5c8,Dimensions,1,"30,0",Width of work,Centimetres
e949166d-3172-5e4a-bb0b-b75285d96794,Dimensions,1,"70,5",Height of work,Centimetres
e949166d-3172-5e4a-bb0b-b75285d96794,Dimensions,1,"50,0",Width of work,Centimetres
59c8bf1e-503c-5024-80af-3d2b60ae2e26,Dimensions,1,"57,0",Height of work,Centimetres
59c8bf1e-503c-5024-80af-3d2b60ae2e26,Dimensions,1,"40,0",Width of work,Centimetres
aeb9ca95-a323-5689-8e5e-04600caeaa00,Dimensions,1,"47,0",Height of work,Centimetres
aeb9ca95-a323-5689-8e5e-04600caeaa00,Dimensions,1,"58,0",Width of work,Centimetres
8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,Dimensions,1,"60,0",Height of work,Centimetres
8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,Dimensions,1,"44,0",Width of work,Centimetres
b362c266-7802-5e2c-8e99-b118e5f8c762,Dimensions,1,"61,0",Height of work,Centimetres
b362c266-7802-5e2c-8e99-b118e5f8c762,Dimensions,1,"42,0",Width of work,Centimetres
df18cc73-b836-5d25-b31f-e2d06c18827b,Dimensions,1,"69,5",Height of work,Centimetres
df18cc73-b836-5d25-b31f-e2d06c18827b,Dimensions,1,"50,0",Width of work,Centimetres
