ResourceID,card,Object Number,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit
3b4a3cb9-c72a-5e4c-9157-b943cb06cdb3,e22_Dimensions,MMB.A.1189_#1,"11,2 x 7,9 cm",112,hoogte,millimeters
3b4a3cb9-c72a-5e4c-9157-b943cb06cdb3,e22_Dimensions,MMB.A.1189_#1,"11,2 x 7,9 cm",79,breedte,millimeters
9c35bf7a-c33f-5ec8-8032-373f31ee94dc,e22_Dimensions,MMB.A.1190_#1,"10,4 x 16,4 cm",104,hoogte,millimeters
9c35bf7a-c33f-5ec8-8032-373f31ee94dc,e22_Dimensions,MMB.A.1190_#1,"10,4 x 16,4 cm",164,breedte,millimeters
168fd424-5e24-5008-be58-2ef1f87d6661,e22_Dimensions,MMB.A.1191_#1,"10,4 x 13 cm",104,hoogte,millimeters
168fd424-5e24-5008-be58-2ef1f87d6661,e22_Dimensions,MMB.A.1191_#1,"10,4 x 13 cm",130,breedte,millimeters
60ec1f4d-58bd-511a-895f-750327220d5e,e22_Dimensions,MMB.A.1192_#1,"21,5 x 13,4 cm",215,hoogte,millimeters
60ec1f4d-58bd-511a-895f-750327220d5e,e22_Dimensions,MMB.A.1192_#1,"21,5 x 13,4 cm",134,breedte,millimeters
ecd38819-3a5b-5a25-a344-4f08423177db,e22_Dimensions,MMB.A.1193_#1,"22,5 x 17,4 cm",225,hoogte,millimeters
ecd38819-3a5b-5a25-a344-4f08423177db,e22_Dimensions,MMB.A.1193_#1,"22,5 x 17,4 cm",174,breedte,millimeters
de92844a-21e6-52e7-915f-b0754be77f12,e22_Dimensions,MMB.A.1194_#1,"20,3 x 16,2 cm",203,hoogte,millimeters
de92844a-21e6-52e7-915f-b0754be77f12,e22_Dimensions,MMB.A.1194_#1,"20,3 x 16,2 cm",162,breedte,millimeters
77eafc55-1f97-59de-9767-d89bcc85ad88,e22_Dimensions,MMB.A.1195_#1,"10,5 x 13,9 cm",105,hoogte,millimeters
77eafc55-1f97-59de-9767-d89bcc85ad88,e22_Dimensions,MMB.A.1195_#1,"10,5 x 13,9 cm",139,breedte,millimeters
70262fca-96e4-5a74-b8f3-e860ee9726e7,e22_Dimensions,MMB.A.1196_#1,"27,1 x 20,8 cm",271,hoogte,millimeters
70262fca-96e4-5a74-b8f3-e860ee9726e7,e22_Dimensions,MMB.A.1196_#1,"27,1 x 20,8 cm",208,breedte,millimeters
