ResourceID,card,Object Number,Start Date,End Date
3b4a3cb9-c72a-5e4c-9157-b943cb06cdb3,e73_CreationTimeSpans,MMB.A.1189_#1,1902-05-08,
77eafc55-1f97-59de-9767-d89bcc85ad88,e73_CreationTimeSpans,MMB.A.1195_#1,1892-02-16,
70262fca-96e4-5a74-b8f3-e860ee9726e7,e73_CreationTimeSpans,MMB.A.1196_#1,1879-11-16,
c79a41f3-52db-54c4-b572-6efd27739abb,e73_CreationTimeSpans,MMB.A.1197_#1,1920-03-29,
150a7a2b-4c6b-5a87-a018-d9da63d5cc0a,e73_CreationTimeSpans,MMB.A.1198_#1,1901-05-04,
87191be8-5f84-5141-b6b0-19ec741ad8e6,e73_CreationTimeSpans,MMB.A.1199_#1,1913-08-08,
71152f08-44fe-5015-98f3-7090753a5056,e73_CreationTimeSpans,MMB.A.1200_#1,1879-09-17,
8e31a388-8e70-5092-b270-9e42701704c3,e73_CreationTimeSpans,MMB.A.1201_#1,1894-01-07,
9ba78331-fd77-5e3e-8b68-b313986f717e,e73_CreationTimeSpans,MMB.A.1202_#1,1901-06-19,
e1850fd4-95e9-577d-af0d-31aebf74eb96,e73_CreationTimeSpans,MMB.A.1203_#1,1913-08-08,
dc57f0d2-fce4-5bc2-af8f-f2446f38f9d6,e73_CreationTimeSpans,MMB.A.1204_#1,1909-07-15,
f66aa3db-2e0d-5395-b893-5e19e8ecac11,e73_CreationTimeSpans,MMB.A.1205_#1,1904-06-05,
ccbd3d3d-e74b-5cee-92c5-cac031b6927f,e73_CreationTimeSpans,MMB.A.1206_#1,1894-12-04,
f5caffa0-b4ba-51da-8472-fd7a5eb212d1,e73_CreationTimeSpans,MMB.A.1207_#1,1879-11-16,
727322e3-4c3a-5dd9-8b54-ab754ad5f00a,e73_CreationTimeSpans,MMB.A.1208_#1,1879-11-16,
3d71a4a4-1da7-50cd-8178-b2d3a78f098f,e73_CreationTimeSpans,MMB.A.1209_#1,1879-11-16,
43ba160e-21bb-5a47-baa5-1d80749fc4a1,e73_CreationTimeSpans,MMB.A.1210_#1,1857-10-08,
