ResourceID,card,Object Number,External Relation Note,External Relation Note Language,External Relation Note Type
5247f5d8-ddee-5a2a-8f1c-9abe3e45e5b9,e73_CreationActors,MMB.A.1231_#1,2 stuks,Nederlands,remarks
53c93be3-36b9-5910-85fe-b37dfa2daaee,e73_CreationActors,MMB.A.1319_#1,8 stuks,Nederlands,remarks
39b5b90d-b23f-57d7-9c86-c9e64abbb74f,e73_CreationActors,MMB.A.1342_#1,uit de Gazet van Antwerpen,Nederlands,remarks
78fd0b39-1547-574e-94cb-5711c42eb757,e73_CreationActors,MMB.A.1454_#1,22 bladen,Nederlands,remarks
253d0c3e-444b-57fe-90f4-d389d77432d8,e73_CreationActors,MMB.A.1479_#1,5 stuks,Nederlands,remarks
1d3fb492-5190-520b-ab34-d8564d65faf7,e73_CreationActors,MMB.A.1480_#1,3 stuks,Nederlands,remarks
864d9c22-81aa-52f5-a178-865bdf2c6760,e73_CreationActors,MMB.A.1481_#1,3 stuks,Nederlands,remarks
dd372f35-1ba8-5475-8da9-9241bad39e28,e73_CreationActors,MMB.A.1482_#1,4 stuks,Nederlands,remarks
13ed22fe-7510-5305-ae44-01915cce5d88,e73_CreationActors,MMB.A.1485_#1,63 stuks,Nederlands,remarks
1cb1b45d-0008-50eb-8fe6-9408821d3f6c,e73_CreationActors,MMB.A.1486_#1,93 stuks,Nederlands,remarks
b4a53c11-8a76-5514-94b3-fce846aed1df,e73_CreationActors,MMB.A.1620_#1,bevat notities,Nederlands,remarks
16259653-8ddd-570a-b5ba-4dde37eaae05,e73_CreationActors,MMB.A.1639_#1,"gevonden in Gerard Hoet, Catalogus of naamlyst van schilderyen, met derzelver pryzen, zedert een langen reeks van jaaren zoo in Holland als op andere plaatzen in het openbaar verkogt, 1752, vol. II (bibliotheek Museum Mayer van den Bergh)",Nederlands,remarks
6f94b6ce-c467-53e9-a5f2-40373a0a0b30,e73_CreationActors,MMB.A.1659_#1,MMB.0135,Nederlands,remarks
205183e1-d519-583d-aa6e-25c916d72e38,e73_CreationActors,MMB.A.1660_#1,"gevonden in Catalogue des objets d'art, antiquités, argenteries, etc. comprenant la collection de feu monsieur Alex. Cogels, 1892 (bibliotheek Museum Mayer van den Bergh)",Nederlands,remarks
38547267-e9df-5e7d-a0c1-ba09263dd1f4,e73_CreationActors,MMB.A.1661_#1,"gevonden in Verlags-Katalog von Franz Hanfstaengl München. II. Theil, 1892 (bibliotheek Museum Mayer van den Bergh)",Nederlands,remarks
10246f72-38b1-57be-ad95-57c1eaa1f76c,e73_CreationActors,MMB.A.1665_#1,MMB.0954,Nederlands,remarks
5d82b15f-949f-5f18-8b3c-ae82ba484a3a,e73_CreationActors,MMB.A.1667_#1,MMB.1688,Nederlands,remarks
0d219ba2-c0fa-5ec6-8729-73c752c48af6,e73_CreationActors,MMB.A.2420_#1,3 vellen,Nederlands,remarks
1fdb2f7b-21a4-58fd-b6ed-04ed9b7393c1,e73_CreationActors,MMB.A.2421_#1,met watermerk Belgique 1903,Nederlands,remarks
a704a9a6-400e-57b5-970f-65b5fc67a119,e73_CreationActors,MMB.A.2484_#1,MMB.0059,Nederlands,remarks
de99d5c0-ca7e-53e9-8787-027cf3c792ff,e73_CreationActors,MMB.A.2485_#1,MMB.0060,Nederlands,remarks
11a806c7-b595-5c4b-9c47-cca59ddddfae,e73_CreationActors,MMB.A.2486_#1,MMB.0024,Nederlands,remarks
6b3f682b-8af5-567b-914d-7e2cf5b0e365,e73_CreationActors,MMB.A.2487_#1,MMB.0031,Nederlands,remarks
e73d0200-f061-502d-8e95-80c98de16077,e73_CreationActors,MMB.A.2490_#1,"296 beschreven bladzijden. Opgesteld door Henriëtte Mayer van den Bergh, later aangevuld door andere medewerkers",Nederlands,remarks
7690b9db-c248-5cd4-9e90-dc5e97992771,e73_CreationActors,MMB.A.2491_#1,246 bladzijden,Nederlands,remarks
72fbdede-c994-53a8-8981-d919da309013,e73_CreationActors,MMB.A.2492_#1,302 bladzijden,Nederlands,remarks
dd11596a-420f-5132-903f-b8078ff03376,e73_CreationActors,MMB.A.2493_#1,6 vellen,Nederlands,remarks
34e44d7d-cb8c-5e91-9c88-dbb48076f749,e73_CreationActors,MMB.A.2494_#1,"8 bladzijden, te vergelijken met de foto's MMB.A.2495. Waarschijnlijk voor een uiteindelijk niet gerealiseerde catalogus van de collectie 1909-1911",Nederlands,remarks
12443445-d2b2-5e3e-95d9-e298f3825f72,e73_CreationActors,MMB.A.2495_#1,"34 foto's, te vergelijken met de drukproeven MMB.A.2494. Waarschijnlijk voor een uiteindelijk niet gerealiseerde catalogus van de collectie 1909-1911. Bevat ook een blad met notities betreffende de nummering",Nederlands,remarks
2022833c-dc16-583b-b24c-12395984abe9,e73_CreationActors,MMB.A.2496_#1,10 vellen,Nederlands,remarks
5a9e08e9-dadd-567c-9a25-f342cba0f685,e73_CreationActors,MMB.A.2497_#1,55 bladzijden,Nederlands,remarks
94e7a54c-61fc-592f-954a-ff31f9939142,e73_CreationActors,MMB.A.2499_#1,Overgeschreven door Henriëtte Mayer van den Bergh,Nederlands,remarks
241be865-12cf-5531-bb4e-50a0faa1a5b3,e73_CreationActors,MMB.A.2500_#1,136 beschreven bladzijden. Overgeschreven door Henriëtte Mayer van den Bergh,Nederlands,remarks
4f387352-84a0-5e8b-a461-e3691d16188c,e73_CreationActors,MMB.A.2519_#1,bevatte oorspronkelijk de tekeningen MMB.A.2501-MMB.A.2518,Nederlands,remarks
4e5b13ac-d188-5cff-9943-cd1c810b1488,e73_CreationActors,MMB.A.2520_#1,Het boek zit in originele kist versierd met het pauslijke wapenschild. De kist bevat ook een metalen doosje met een zegel,Nederlands,remarks
30f30092-187f-5768-a959-f24aa704eb17,e73_CreationActors,MMB.A.2521_#1,Het boek zit in originele kist versierd met het het kruis van de Orde van Malta. De kist bevat ook een metalen doosje met een wassen zegel,Nederlands,remarks
