ResourceID,card,Start Date,End Date
276ac32f-6efb-5018-81e5-6c720c63ec86,e22_ProductionTimeSpans,1902-05-08,
66461767-c6e9-5183-8ed0-53031e25ab9c,e22_ProductionTimeSpans,1892-02-16,
43041bc9-a42e-59b2-9bca-dbabb16059b9,e22_ProductionTimeSpans,1879-11-16,
ec82374f-68ed-587e-89c7-8d657c97fad2,e22_ProductionTimeSpans,1920-03-29,
39634300-2e08-57c7-86c1-c80ade0e45e4,e22_ProductionTimeSpans,1901-05-04,
31283184-f32e-5752-acee-dfa5c3c2ffe0,e22_ProductionTimeSpans,1913-08-08,
82ddac49-d293-5ad1-b8b2-f47291aeeea2,e22_ProductionTimeSpans,1879-09-17,
a760ecdc-ffd1-5020-9188-01fab16e8d7e,e22_ProductionTimeSpans,1894-01-07,
d2b1e801-98c8-50f2-aada-311f9dcc076b,e22_ProductionTimeSpans,1901-06-19,
0b709b78-cc59-59d6-a0ea-0e08541230fa,e22_ProductionTimeSpans,1913-08-08,
6e7e86ee-6828-5f4c-887f-0e6df4a4e461,e22_ProductionTimeSpans,1909-07-15,
aa5b4284-4130-5738-b75b-41e78516e517,e22_ProductionTimeSpans,1904-06-05,
9a28002b-ba44-5e42-8248-4056ae98f698,e22_ProductionTimeSpans,1894-12-04,
02762407-114b-52cb-b815-50e59376f1e2,e22_ProductionTimeSpans,1879-11-16,
a8a785b2-615d-5cb3-895c-879ac3d91c7a,e22_ProductionTimeSpans,1879-11-16,
ae701dd1-11e4-5401-b13b-ea98289eb072,e22_ProductionTimeSpans,1879-11-16,
b4440dbe-bb57-5d79-a39a-05a615a74af0,e22_ProductionTimeSpans,1857-10-08,
87faaec5-b87c-5dae-8262-c875a4343c99,e22_ProductionTimeSpans,1881-07-28,
9c7e7b2a-bdac-540e-a685-2fbfa433ca79,e22_ProductionTimeSpans,1885-04-06,
fe12775b-a1f5-59ef-8d82-84f9ec7d6d59,e22_ProductionTimeSpans,1885-04-06,
5d1ded10-c07e-5977-85f8-c9a900ea95e5,e22_ProductionTimeSpans,1892-02-15,
4f4bbd32-3cde-5475-b224-db3677001acc,e22_ProductionTimeSpans,1894-01-07,
a65d00e0-58e7-5dee-a1ce-14e8bb175ed2,e22_ProductionTimeSpans,1895-05-14,
4dcc783d-aa40-5a6b-bb15-47e95e268bd8,e22_ProductionTimeSpans,1899-06-27,
edc08000-9da6-57c4-a4fc-8c14ebaafd1f,e22_ProductionTimeSpans,1901-05-04,
9322239b-d5aa-5637-b103-47cdc4452370,e22_ProductionTimeSpans,1901-05-04,
47fcbe5a-26ca-5418-9835-57335a86221f,e22_ProductionTimeSpans,1901-05-04,
cbf9d6f1-891b-5760-b712-647aa6714646,e22_ProductionTimeSpans,1901-05-04,
549796a6-5207-51d5-8499-dd3bdab97743,e22_ProductionTimeSpans,1897-05-11,
b712e8ac-aa1c-523b-812f-67f1e11c0eb8,e22_ProductionTimeSpans,1900-03-27,
99261f7e-2bb0-5100-ba1f-eedeb67e816f,e22_ProductionTimeSpans,1878-07-12,1878-08-09
d5d88f16-25d2-5c82-8c97-d848a6ced94b,e22_ProductionTimeSpans,1894-10-23,
32978923-1776-5392-b89e-cc52eb4e7cbf,e22_ProductionTimeSpans,1894-10-26,
3261420f-fa95-5253-80dc-107299b8b524,e22_ProductionTimeSpans,1901-03-04,
c3788d2c-d341-52ba-b8d9-e09611e57d76,e22_ProductionTimeSpans,1901-03-02,
af199622-0508-5d7d-9f7b-5311e1542b7b,e22_ProductionTimeSpans,1901-03-02,
6a5231b7-ae21-565f-9c19-f9f5624a6ddd,e22_ProductionTimeSpans,1894-08-14,
1aacb29f-bc49-56ee-afd3-9ae413d1ef68,e22_ProductionTimeSpans,1905-03-08,
0aa0fe80-a3de-590d-a912-829862db9c38,e22_ProductionTimeSpans,1905-03-09,
db466b6c-499e-5871-ae2f-7dab2a4de216,e22_ProductionTimeSpans,1904-12-17,
7822590f-8f95-5a0c-8189-b382946f3e22,e22_ProductionTimeSpans,1890-uu-uu,
e207c16c-f087-5901-baf4-ea5791d0a1b3,e22_ProductionTimeSpans,1903-uu-uu,
cacfe543-304c-5905-9679-60c5fdf3537f,e22_ProductionTimeSpans,1919-10-10,1920-11-25
64f0f355-c885-5e6d-bbff-7a33eafcf2b0,e22_ProductionTimeSpans,1921-04-29,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,e22_ProductionTimeSpans,1921-01-19,
52713c0b-06fb-5d6d-9ce3-1942d28562eb,e22_ProductionTimeSpans,1928-08-01,
b68a3c8f-ca33-5a1d-8cf9-44ac3241ba2a,e22_ProductionTimeSpans,1907-08-10,1907-11-18
4bc1f677-5dfb-5303-b2f5-cbffeb84c530,e22_ProductionTimeSpans,1906-07-30,1906-07-31
926ae845-ce4c-53c4-834e-c655edd31184,e22_ProductionTimeSpans,1906-07-15,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,e22_ProductionTimeSpans,1903-07-01,
