ResourceID,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier
c285eabe-bdd8-5fa8-be09-e0d2398c5947,originators (administrative),,,
32b561ba-598d-5dbe-9489-35948ec95d3c,originators (administrative),,,
037115d1-f4fd-5466-9669-a426c185e2ac,originators (administrative),,,
020d937c-b7b1-5ae0-9241-74fd925008ba,originators (administrative),,,
e272703b-d5a8-58f6-99cc-7b327f7488d7,originators (administrative),,,
48a416aa-fd0c-5b4d-88b8-8491c78d09c4,originators (administrative),,,
7bdeae05-9a01-5c7a-baba-17b7d04d3200,originators (administrative),,,
cf10feed-9f60-5d97-9a97-6f221a03c746,originators (administrative),,,
69b8e859-4eb7-5bdb-ba34-76e65b9a26a3,originators (administrative),,,
1f65494d-9c65-535d-bcb1-a04cf80de46f,originators (administrative),,,
b2b20816-1148-5965-89d9-95c6cfe2d0ab,originators (administrative),,,
05915d97-808a-5322-ab95-3721b82d4af5,originators (administrative),,,
12f6e1a1-833b-5a83-84fa-b7faf7a7386e,originators (administrative),,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,originators (administrative),,,
f022dc4f-36b1-5a66-80aa-9944797a9e37,originators (administrative),,,
b4182975-61f9-5203-a727-dd5c0ad07f18,originators (administrative),,,
2d0bf567-5768-5791-b31c-86e0269b9dd9,originators (administrative),,,
742c8708-ac9b-5dd4-aed5-96cfafdf58d6,originators (administrative),,,
ca1cf717-87de-593d-879d-bbc322cc0af3,originators (administrative),,,
98ede7e9-04cf-5572-9050-3c38ff08333c,originators (administrative),,,
9ec5ab15-587a-5306-91c2-1fec1c22f42b,originators (administrative),,,
46878d5c-014a-56a9-a7f8-35748ffb9d8a,originators (administrative),,,
68a09ff2-b4bf-5cc1-979b-96655a7771a5,photographers,,,
68a09ff2-b4bf-5cc1-979b-96655a7771a5,originators (administrative),,,
bbe4a999-e119-5460-a0bd-2ef6005b0c19,originators (administrative),,,
136b5024-824a-5852-aade-a50bef89e1b1,originators (administrative),,,
81aaae21-7028-5bcd-9dbb-dbccaa22064f,originators (administrative),,,
446ac2b9-2e36-563c-9e73-2d747408702a,originators (administrative),,,
ad8368fa-2ee2-55e7-b70e-b62a812b56ae,originators (administrative),,,
22cdd8f7-6cf3-55fe-aa04-5b7efa7b9ff4,originators (administrative),,,
1616a1ee-ecef-5dc0-a725-4482623bfc55,originators (administrative),,,
4d365fa2-2ad0-53e9-a168-01512accff50,originators (administrative),,,
c417b291-2b00-5e32-8b8b-dbc7063baecb,originators (administrative),,,
88418fac-2c30-5ae1-b7f8-659da144e16c,originators (administrative),,,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,originators (administrative),,,
0601325c-d473-5b61-888a-cfab9bd292d6,originators (administrative),,,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,photographers,,,
177dc347-eab9-5aa9-9bed-bcc55aa5c471,originators (administrative),,,
dcc9188a-6856-50f7-b147-658bdb097ba6,originators (administrative),,,
446b3528-00c5-567d-b487-16c664daba1b,originators (administrative),,,
633eb992-a5fd-5527-a534-d01b12ca13f7,originators (administrative),,,
89a03f1f-a849-54d1-bad7-0b3783be0323,originators (administrative),,,
