Record Type,ResourceID,Keeper,Object Identifier,Object Identifier Type,order,card
Voorwerpen,bd7ce636-cc81-583e-a78c-3b8f0752a379,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bd7ce636-cc81-583e-a78c-3b8f0752a379,object identifier,0,AA
Voorwerpen,5a61ea94-31bc-52dd-a755-d066d29d47b9,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5a61ea94-31bc-52dd-a755-d066d29d47b9,object identifier,0,AA
Voorwerpen,bd6a24a7-aded-52a3-b50c-56afca72e232,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bd6a24a7-aded-52a3-b50c-56afca72e232,object identifier,0,AA
Voorwerpen,ab42045f-6e40-5c85-9079-435c3680d52a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ab42045f-6e40-5c85-9079-435c3680d52a,object identifier,0,AA
Voorwerpen,cd2daffa-e245-5210-a2df-5e8d206c2148,Letterenhuis,https://data.letterenhuis.be/ark:/24970/cd2daffa-e245-5210-a2df-5e8d206c2148,object identifier,0,AA
Voorwerpen,10ca59b0-91e3-567e-998d-80535d66fd46,Letterenhuis,https://data.letterenhuis.be/ark:/24970/10ca59b0-91e3-567e-998d-80535d66fd46,object identifier,0,AA
Voorwerpen,d0040669-e75c-5a8b-871b-f280d696ae37,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d0040669-e75c-5a8b-871b-f280d696ae37,object identifier,0,AA
Voorwerpen,10478800-d203-5ea2-95a8-f28860cc5b30,Letterenhuis,https://data.letterenhuis.be/ark:/24970/10478800-d203-5ea2-95a8-f28860cc5b30,object identifier,0,AA
Voorwerpen,bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,object identifier,0,AA
Voorwerpen,5ebb0f3c-cace-5b57-9dc3-cf73efb31735,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5ebb0f3c-cace-5b57-9dc3-cf73efb31735,object identifier,0,AA
Voorwerpen,8e3b6e00-2a8c-5128-8fb0-f42e519e1290,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8e3b6e00-2a8c-5128-8fb0-f42e519e1290,object identifier,0,AA
