ResourceID,card,order,Description,Description Type,Description Language
6bdab216-eab6-5653-b896-57492506250a,Descriptions,1,Notitieboekje met aantekeningen betreffende Rubenswerk in Antwerpse musea.,Beschrijving,Nederlands
651614bc-d11c-5d51-a064-34ed34494f8d,Descriptions,1,Notitieboekje met aantekeningen betreffende Rubenswerk.,Beschrijving,Nederlands
34cdbfe1-25aa-59d8-9c0c-8f805df7634f,Descriptions,1,Notitieboekje met aantekeningen betreffende (de uitwerking van?) een Rubenstentoonstelling.,Beschrijving,Nederlands
f89075b7-bbea-5413-b7c5-5f40bfb1ea45,Descriptions,1,Adresboekje Parijs.,Beschrijving,Nederlands
77edd04e-5fb6-5474-8b0a-91d9907eccc0,Descriptions,1,"Notitieboekje betreffende *Le Vite de Pittori, Scultori,...* van Gio: Pietro Bellori.",Beschrijving,Nederlands
6472f2e0-2285-519c-9c4a-3f62b23532ac,Descriptions,1,Notitieboekje met aantekeningen betreffende bezoeken aan verscheidene collecties in België.,Beschrijving,Nederlands
e63337da-bf45-5777-bb14-d3ef95982778,Descriptions,1,Agenda voor het jaar 1930.,Beschrijving,Nederlands
96420871-9263-54bc-b914-66a155f7623b,Descriptions,1,"Notitieboekje met aantekeningen betreffende bezoeken aan Parijs, Brussel en Berlijn.",Beschrijving,Nederlands
f922fabb-2edf-5f02-a48b-b520db166615,Descriptions,1,Notitieboekje met reproducties van *Conversations sur la Connoissance de la Peinture et sur je Jugement qu'on doit faire des Tableux* uit 1677.,Beschrijving,Nederlands
facadc33-bdd7-54fd-8c35-a3156f280ad9,Descriptions,1,Notitieboekje met aantekeningen betreffende een bezoek aan collecties in Wenen.,Beschrijving,Nederlands
8ba8ffac-3c35-5178-85a8-0df0924a37f1,Descriptions,1,"Notitieboekje met aantekeningen betreffende Amsterdam, Antwerpen, Brussel, Londen en Parijs.",Beschrijving,Nederlands
71cefda3-be50-508c-a98e-c9c552369f73,Descriptions,1,Notitieboekje met aantekeningen betreffende verscheidene onderwerpen.,Beschrijving,Nederlands
013db479-4b8e-51d9-8e5d-793832023bda,Descriptions,1,Agenda voor het jaar 1946.,Beschrijving,Nederlands
cf13a37b-d8f8-5092-8ccb-56c26be682eb,Descriptions,1,Notitieboekje met aantekeningen betreffende verscheidene onderwerpen.,Beschrijving,Nederlands
fb58236a-34ca-5dce-9524-4234b548880e,Descriptions,1,Agenda voor het jaar 1951.,Beschrijving,Nederlands
ef379e44-9f91-5b8e-bfd1-d1c8536ee9d8,Descriptions,1,Agenda voor het jaar 1926.,Beschrijving,Nederlands
