ResourceID,card,order,Description,Description Type,Description Language
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,Descriptions,1,"Vier voorstudies voor een affiche. Gedrukte affiche ook in ons bezit onder inventarisnummer: 234441, 225261/148, 237139/1,2 en posterrecordnummer: 2929.",Detailbeschrijving,Nederlands
1eec0799-63fa-543c-a3d0-be891a0c181c,Descriptions,1,"De rol van de oude Gobbo, vader van Lancelot, werd door de acteur René Bertal vertolkt.",Detailbeschrijving,Nederlands
2889da1d-de01-506d-a2b8-86ab9eaf34d7,Descriptions,1,Waterverf schets met enkele potloodlijnen.,Detailbeschrijving,Nederlands
090a8e15-d13b-556d-9d94-a248ac6264bf,Descriptions,1,De rol van Prins van Aragon werd door de acteur François Bernard vertolkt.,Detailbeschrijving,Nederlands
7c078dc8-7219-5041-974a-d43d540d22fb,Descriptions,1,Op de achterkant van het blad is een lijntekening in potlood van een ander mannelijk kostuumontwerp.,Detailbeschrijving,Nederlands
e9b2a80c-720e-5fb9-88c6-7dca2e80d611,Descriptions,1,"Het personage De Overeste, vader werd  door de acteur Marcel Cauwenberg vertolkt.",Detailbeschrijving,Nederlands
da23c11e-76c1-5d41-bc0d-4654a90f4146,Descriptions,1,"De aquarel werd door de kunstenaar voorzien van een passepartout (220639/2b) en vastgezet  met schilderstape. (Om beschadiging op termijn te voorkomen, door het inwerken van de lijm, is de passepartout losgemaakt van de aquarel.)",Detailbeschrijving,Nederlands
4bddeb9c-33d5-5850-a47c-c9d9b051c50f,Descriptions,1,ingeschilderde tekening van man in profiel met geel/goene achtergrond,Detailbeschrijving,Nederlands
7c729a34-ba1a-58f8-a6ce-69f7c86f50d7,Descriptions,1,Op de achterkant van het blad is een schets van een ander monnik met inkt op een aquarellische achtergrond getekend.,Detailbeschrijving,Nederlands
06c48f40-7010-5f14-bbd5-02802f6b0a5a,Descriptions,1,Het personage Waardin Pavilec werd  door de actrice Jeanne Geldhof vertolkt.,Detailbeschrijving,Nederlands
47bf8d11-d5db-5792-acd2-fa9915b9b2ef,Descriptions,1,Twee verschillende voorstudies.,Detailbeschrijving,Nederlands
d9193347-1e9b-5a41-90fb-c85a862668a8,Descriptions,1,"Het personage Dr. Bautze, psychiater werd  door de acteur René Bertal vertolkt.",Detailbeschrijving,Nederlands
6fb15b7a-fef7-59f5-ba3e-a3923cf9d717,Descriptions,1,"De gedrukte affiche is eveneens in ons bezit onder inventarisnummers: 234437,
237144, 179869/2 en afficherecordnummer: 2925.

177576: Deze voorstudie is niet helemaal hetzelfde. De kleuren verschillen en
de houding van de twee figuren is een beetje anders.",Detailbeschrijving,Nederlands
0f633b29-fd17-5e80-9cf5-a0d271042edf,Descriptions,1,vermoedelijke een jeugdwerk.,Detailbeschrijving,Nederlands
fcfa0ff9-6c11-5143-954c-8aaa3ec15a61,Descriptions,1,"De rol van Balthazar, bediende van Portia, werd door de acteur Ray Verhaeghe vertolkt.",Detailbeschrijving,Nederlands
b8ea5fbc-ef22-518d-b0f1-49279177881f,Descriptions,1,Op de achterkant van het blad is er een schets in potlood van een man.,Detailbeschrijving,Nederlands
a9823bd0-44f5-52b0-ab1d-9472b05fa644,Descriptions,1,"Kosen werd gespeeld door de acteur Julien Schoenaerts , van """"De Studio van het Nationaal Toneel",Detailbeschrijving,Nederlands
712aa656-f276-5bdd-8681-9d2edab83871,Descriptions,1,"Aan de rechterkant van de tekeningen wordt de kleur voor elk kostuumdeel
aangeduid.

Van boven naar onder naast de eerste figuur: _zwart / wit en goud / mauve_

naast de tweede figuur: _ wit / rood / wit hemdje / rood _

op de achterkant van het blad is een schets in potlood van Priester.",Detailbeschrijving,Nederlands
6054f13c-ad14-5163-8f30-a0e324ae892b,Descriptions,1,"Maye werd gespeeld door de actrice Jeanne Geldof , van """"De Studio van het Nationaal Toneel",Detailbeschrijving,Nederlands
df3cf8c4-8782-5dae-96a1-8ba31d234e91,Descriptions,1,"De rol van Portia, een rijke erfgename, werd door de actrice Tine Balder vertolkt.",Detailbeschrijving,Nederlands
bdabe72c-eb4d-5c91-afa6-73cf63a7d13f,Descriptions,1,"174236/1b is een proefdruk van titelblad """"Columbus"""", 23 x 19.5",Detailbeschrijving,Nederlands
05c52c61-a548-5f23-8a06-316fd4a837b1,Descriptions,1,Het personage Gendarmerie - wachtmeester werd  door de acteur Jos Gevers vertolkt.,Detailbeschrijving,Nederlands
e815e902-eae4-56f8-96c8-75581a34e074,Descriptions,1,Het klein beeld van de doedelzakspeler is aan de rechterkant van de bedelaar geplakt.,Detailbeschrijving,Nederlands
b1a5249e-303f-5e48-89be-9f24a47f7e50,Descriptions,1,Vier voorstudies voor affiche. Gedrukte affiche ook in ons bezit onder inventarisnummer: 237221/1-3 en posterrecordnummer: 4157.,Detailbeschrijving,Nederlands
ec2ca4fc-6551-5ef0-9716-5fed7b4258b5,Descriptions,1,Het personage Mevrouw  de Overste werd  door de actrice Nora Oosterwijk vertolkt.,Detailbeschrijving,Nederlands
826d744f-1e33-5169-874b-f6f0cde769b1,Descriptions,1,Vermoedelijk jeugdwerk.,Detailbeschrijving,Nederlands
d2ec5af7-2128-5a68-935f-16cbbdc30394,Descriptions,1,ingeschilderde tekening van man in profiel met geel/goene achtergrond,Detailbeschrijving,Nederlands
916d5ab5-de0e-50b9-86fc-f59e684d2a46,Descriptions,1,Vermoedelijk een jeugdwerk.,Detailbeschrijving,Nederlands
501c7580-ebf8-5adf-b5cb-97b4e075e7e3,Descriptions,1,Het personage krijgsauditeur Braun werd  door de acteur Free Waeles vertolkt.,Detailbeschrijving,Nederlands
f6e86625-02ad-5e0f-88b6-aefef9df8239,Descriptions,1,"Het aquarel werd door de kunstenaar zelf voorzien van een Passe-partout (220639/3b en verankerd door middel van schilderstape. De passe-partout werd losgemaakt van het aquarel, om op termijn, beschadiging door inwerken van de lijm te voorkomen.",Detailbeschrijving,Nederlands
ffc733e7-294a-540b-bb00-79836dd01a32,Descriptions,1,"De rol van Shylock, een rijke jood, werd door de acteur Luc Philips vertolkt.",Detailbeschrijving,Nederlands
4ee4c3aa-bb54-50cf-8c80-b9325efa1a95,Descriptions,1,Waterverf schets met enkele potloodlijnen.,Detailbeschrijving,Nederlands
16476063-9885-52da-8584-492359730668,Descriptions,1,Op de achterkant van het blad is er een lijntekening in potlood en inkt van een vrouwelijke personage in kostuum.,Detailbeschrijving,Nederlands
e360d5e2-779f-5483-93cd-9979a48cb9e5,Descriptions,1,Op de achterkant van het blad is een studie in gouache voor een mannelijk kostuum en andere schetsen in potlood voor vrouwen.(Iconografie 9054i),Detailbeschrijving,Nederlands
633a878b-464e-57a1-9b0f-082ff061fca5,Descriptions,1,"De rol van Jessica, dochter van Shylock, werd door de actrice Julienne de Bruyn vertolkt.",Detailbeschrijving,Nederlands
8a41a2e2-0485-57a1-86da-7682f7d4ffb0,Descriptions,1,Het personage Dr. Grünstein werd  door de acteur G. Vandermeulen vertolkt.,Detailbeschrijving,Nederlands
8310fe17-be24-57b9-9de8-247a2c5a2456,Descriptions,1,Handgeschreven kaart met origineel aquarel van Walschap aan Hans Roest.,Detailbeschrijving,Nederlands
