ResourceID,card,order,Dimension Value,Dimension Type,Dimension Measurement Unit
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,Dimensions,1,"11,4",Height of work,Centimetres
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,Dimensions,1,"7,3",Width of work,Centimetres
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,Dimensions,1,"35,5",Height of work,Centimetres
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,Dimensions,1,"18,0",Width of work,Centimetres
1eec0799-63fa-543c-a3d0-be891a0c181c,Dimensions,1,"20,5",Height of work,Centimetres
1eec0799-63fa-543c-a3d0-be891a0c181c,Dimensions,1,"33,0",Width of work,Centimetres
432a31ab-1b7d-527c-870a-feeb86b1d9c3,Dimensions,1,"36,0",Height with border,Centimetres
432a31ab-1b7d-527c-870a-feeb86b1d9c3,Dimensions,1,"26,0",Width with border,Centimetres
432a31ab-1b7d-527c-870a-feeb86b1d9c3,Dimensions,1,"9,0",Height of work,Centimetres
432a31ab-1b7d-527c-870a-feeb86b1d9c3,Dimensions,1,"15,0",Width of work,Centimetres
56e6263a-af53-574e-ae41-5addeaf522f7,Dimensions,1,"26,5",Height of work,Centimetres
56e6263a-af53-574e-ae41-5addeaf522f7,Dimensions,1,"18,0",Width of work,Centimetres
823461b2-0712-56a4-8ed4-be9310e7baa7,Dimensions,1,"26,0",Height of work,Centimetres
823461b2-0712-56a4-8ed4-be9310e7baa7,Dimensions,1,"14,0",Width of work,Centimetres
afc90268-a4a6-57a2-92ea-ac8b55d49c94,Dimensions,1,"25,0",Height of work,Centimetres
afc90268-a4a6-57a2-92ea-ac8b55d49c94,Dimensions,1,"35,0",Width of work,Centimetres
0946f068-5ab0-5558-bd03-4f927fba0f5e,Dimensions,1,"33,0",Height of work,Centimetres
0946f068-5ab0-5558-bd03-4f927fba0f5e,Dimensions,1,"47,0",Width of work,Centimetres
bb524cb6-ed81-546e-a22e-26957d99f5ff,Dimensions,1,"12,9",Height of work,Centimetres
bb524cb6-ed81-546e-a22e-26957d99f5ff,Dimensions,1,"11,3",Width of work,Centimetres
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,Dimensions,1,"33,5",Height of work,Centimetres
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,Dimensions,1,"42,3",Width of work,Centimetres
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,Dimensions,1,"26,0",Height of work,Centimetres
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,Dimensions,1,"18,5",Width of work,Centimetres
f051649c-2a76-5b5a-8afd-6f3b95716bc4,Dimensions,1,"26,0",Height of work,Centimetres
f051649c-2a76-5b5a-8afd-6f3b95716bc4,Dimensions,1,"17,5",Width of work,Centimetres
2a009e82-1442-52f3-bdde-255bd25a5b29,Dimensions,1,"19,0",Height of work,Centimetres
2a009e82-1442-52f3-bdde-255bd25a5b29,Dimensions,1,"12,8",Width of work,Centimetres
77b0399b-e866-5c0f-97b5-3aa876feeb5a,Dimensions,1,"41,0",Height of work,Centimetres
77b0399b-e866-5c0f-97b5-3aa876feeb5a,Dimensions,1,"31,0",Width of work,Centimetres
b115a4c2-902f-58fd-bf56-710a9ed715cc,Dimensions,1,"35,5",Height of work,Centimetres
b115a4c2-902f-58fd-bf56-710a9ed715cc,Dimensions,1,"18,0",Width of work,Centimetres
1c2549b2-f726-5e8d-b9d9-6024da36156d,Dimensions,1,"36,0",Height of work,Centimetres
1c2549b2-f726-5e8d-b9d9-6024da36156d,Dimensions,1,"28,0",Width of work,Centimetres
29cd2b73-2d47-5785-883a-989c4e9de3b6,Dimensions,1,"32,5",Height with border,Centimetres
29cd2b73-2d47-5785-883a-989c4e9de3b6,Dimensions,1,"50,0",Width with border,Centimetres
29cd2b73-2d47-5785-883a-989c4e9de3b6,Dimensions,1,"22,0",Height of work,Centimetres
29cd2b73-2d47-5785-883a-989c4e9de3b6,Dimensions,1,"34,0",Width of work,Centimetres
2889da1d-de01-506d-a2b8-86ab9eaf34d7,Dimensions,1,"26,9",Height with border,Centimetres
2889da1d-de01-506d-a2b8-86ab9eaf34d7,Dimensions,1,"20,3",Width with border,Centimetres
2889da1d-de01-506d-a2b8-86ab9eaf34d7,Dimensions,1,"25,9",Height of work,Centimetres
2889da1d-de01-506d-a2b8-86ab9eaf34d7,Dimensions,1,"19,3",Width of work,Centimetres
090a8e15-d13b-556d-9d94-a248ac6264bf,Dimensions,1,"40,5",Height of work,Centimetres
090a8e15-d13b-556d-9d94-a248ac6264bf,Dimensions,1,"33,0",Width of work,Centimetres
473c6aab-df61-5f40-bbb3-628e05adfba3,Dimensions,1,"22,0",Height with border,Centimetres
473c6aab-df61-5f40-bbb3-628e05adfba3,Dimensions,1,"29,7",Width with border,Centimetres
473c6aab-df61-5f40-bbb3-628e05adfba3,Dimensions,1,"14,8",Height of work,Centimetres
473c6aab-df61-5f40-bbb3-628e05adfba3,Dimensions,1,"28,0",Width of work,Centimetres
135c55d1-f7f0-5ed0-ac20-77c41a3026c4,Dimensions,1,"25,5",Height of work,Centimetres
135c55d1-f7f0-5ed0-ac20-77c41a3026c4,Dimensions,1,"35,0",Width of work,Centimetres
3427e823-4487-5f09-a8b8-0a62308a7afa,Dimensions,1,"15,5",Height of work,Centimetres
3427e823-4487-5f09-a8b8-0a62308a7afa,Dimensions,1,"11,5",Width of work,Centimetres
7c078dc8-7219-5041-974a-d43d540d22fb,Dimensions,1,"38,5",Height of work,Centimetres
7c078dc8-7219-5041-974a-d43d540d22fb,Dimensions,1,"27,8",Width of work,Centimetres
262ab269-588a-565f-9fff-7b4d784fe26a,Dimensions,1,"19,0",Height of work,Centimetres
262ab269-588a-565f-9fff-7b4d784fe26a,Dimensions,1,"23,5",Width of work,Centimetres
397cdc4d-1877-5ff1-aea4-d5699678eec6,Dimensions,1,"32,5",Height with border,Centimetres
397cdc4d-1877-5ff1-aea4-d5699678eec6,Dimensions,1,"25,0",Width with border,Centimetres
397cdc4d-1877-5ff1-aea4-d5699678eec6,Dimensions,1,"28,0",Height of work,Centimetres
