ResourceID,card,order,Dimension Value,Dimension Type,Dimension Measurement Unit
f054665f-e89b-5527-b4be-e1d47a4263cb,Dimensions,1,"6,0",Height of work,Centimetres
f054665f-e89b-5527-b4be-e1d47a4263cb,Dimensions,1,"6,0",Width of work,Centimetres
87f8effb-7485-5d82-846f-99bff333cfc0,Dimensions,1,"6,0",Height of work,Centimetres
87f8effb-7485-5d82-846f-99bff333cfc0,Dimensions,1,"4,5",Width of work,Centimetres
8552fda5-f4c2-5a7e-8227-3626a972e7c1,Dimensions,1,"180,0",Height of work,Centimetres
8552fda5-f4c2-5a7e-8227-3626a972e7c1,Dimensions,1,"122,0",Width of work,Centimetres
a8cb1dec-0bf6-5695-b15b-645ff687a102,Dimensions,1,"65,0",Height of work,Centimetres
a8cb1dec-0bf6-5695-b15b-645ff687a102,Dimensions,1,"108,0",Width of work,Centimetres
ff50b330-23a5-5a54-be81-c61883a518b0,Dimensions,1,"89,0",Height of work,Centimetres
ff50b330-23a5-5a54-be81-c61883a518b0,Dimensions,1,"85,0",Width of work,Centimetres
bfc0ee81-10b3-54bd-8ca4-61147179c437,Dimensions,1,"170,0",Height of work,Centimetres
bfc0ee81-10b3-54bd-8ca4-61147179c437,Dimensions,1,"230,0",Width of work,Centimetres
94fe2532-900e-5ed6-ba1f-becb3618e2da,Dimensions,1,"181,0",Height of work,Centimetres
94fe2532-900e-5ed6-ba1f-becb3618e2da,Dimensions,1,"122,0",Width of work,Centimetres
f90accfd-a381-51aa-a1d4-83618b68b83f,Dimensions,1,"187,0",Height of work,Centimetres
f90accfd-a381-51aa-a1d4-83618b68b83f,Dimensions,1,"37,0",Width of work,Centimetres
05d64298-749d-55d1-aac7-937d9ecf5d20,Dimensions,1,"80,0",Height of work,Centimetres
05d64298-749d-55d1-aac7-937d9ecf5d20,Dimensions,1,"52,0",Width of work,Centimetres
f38c9cdd-2aff-5406-a5fb-831ee705ab9b,Dimensions,1,"80,0",Height of work,Centimetres
f38c9cdd-2aff-5406-a5fb-831ee705ab9b,Dimensions,1,"55,0",Width of work,Centimetres
2a644055-3257-5800-85cb-54a393c05a4f,Dimensions,1,"60,0",Height of work,Centimetres
2a644055-3257-5800-85cb-54a393c05a4f,Dimensions,1,"60,0",Width of work,Centimetres
65e19c5f-74bd-564c-a680-7a88e1099b2d,Dimensions,1,"325,0",Height of work,Centimetres
65e19c5f-74bd-564c-a680-7a88e1099b2d,Dimensions,1,"390,0",Width of work,Centimetres
525cb592-4469-5472-a28b-915d0df4c87b,Dimensions,1,"190,0",Height of work,Centimetres
525cb592-4469-5472-a28b-915d0df4c87b,Dimensions,1,"250,0",Width of work,Centimetres
2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,Dimensions,1,"141,0",Height of work,Centimetres
2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,Dimensions,1,"106,0",Width of work,Centimetres
e8d3e385-f479-5b92-bf4a-b97898fa3ff1,Dimensions,1,"165,0",Height of work,Centimetres
e8d3e385-f479-5b92-bf4a-b97898fa3ff1,Dimensions,1,"108,0",Width of work,Centimetres
37e8668f-2309-5ed4-806b-b10a19c582e7,Dimensions,1,"90,0",Height of work,Centimetres
37e8668f-2309-5ed4-806b-b10a19c582e7,Dimensions,1,"60,0",Width of work,Centimetres
8978b3d2-be52-55ac-ac4c-9d80011fefc1,Dimensions,1,"308,0",Height of work,Centimetres
8978b3d2-be52-55ac-ac4c-9d80011fefc1,Dimensions,1,"230,0",Width of work,Centimetres
6e266dd2-fa2a-52eb-9ac8-0529eb50a2ed,Dimensions,1,"85,0",Height of work,Centimetres
6e266dd2-fa2a-52eb-9ac8-0529eb50a2ed,Dimensions,1,"115,0",Width of work,Centimetres
fb79167a-c5de-5918-9e71-25755e3a8b08,Dimensions,1,"24,0",Height of work,Centimetres
fb79167a-c5de-5918-9e71-25755e3a8b08,Dimensions,1,"36,0",Width of work,Centimetres
14284bdf-7a32-570d-83ad-818e882df6e8,Dimensions,1,"6,0",Height of work,Centimetres
14284bdf-7a32-570d-83ad-818e882df6e8,Dimensions,1,"6,0",Width of work,Centimetres
59db60fd-5b91-58fb-8721-f79bcc62f64f,Dimensions,1,"139,0",Height of work,Centimetres
59db60fd-5b91-58fb-8721-f79bcc62f64f,Dimensions,1,"204,0",Width of work,Centimetres
c42f4b17-eed4-5b74-bd6b-1059a9a41d7a,Dimensions,1,"129,0",Height of work,Centimetres
c42f4b17-eed4-5b74-bd6b-1059a9a41d7a,Dimensions,1,"79,0",Width of work,Centimetres
b692481a-9b2a-5ad9-9060-eea7c0a4fccd,Dimensions,1,"126,0",Height of work,Centimetres
b692481a-9b2a-5ad9-9060-eea7c0a4fccd,Dimensions,1,"177,0",Width of work,Centimetres
e719f44a-712c-5df1-a3c0-a1d5f5191ffd,Dimensions,1,"65,0",Height of work,Centimetres
e719f44a-712c-5df1-a3c0-a1d5f5191ffd,Dimensions,1,"95,0",Width of work,Centimetres
6ff9cac8-9b83-5c98-b844-5fa6712e8ff6,Dimensions,1,"128,0",Height of work,Centimetres
6ff9cac8-9b83-5c98-b844-5fa6712e8ff6,Dimensions,1,"177,0",Width of work,Centimetres
b14cf90b-19a9-5639-a891-8d9f62d7308b,Dimensions,1,"132,0",Height of work,Centimetres
b14cf90b-19a9-5639-a891-8d9f62d7308b,Dimensions,1,"180,0",Width of work,Centimetres
572bd27f-1ce0-5037-9ba3-77b0cebd2b9f,Dimensions,1,"183,0",Height of work,Centimetres
572bd27f-1ce0-5037-9ba3-77b0cebd2b9f,Dimensions,1,"254,0",Width of work,Centimetres
c2a62fab-721e-5a30-89f9-b5c344cf7b9a,Dimensions,1,"88,0",Height of work,Centimetres
c2a62fab-721e-5a30-89f9-b5c344cf7b9a,Dimensions,1,"138,0",Width of work,Centimetres
70bd4cdd-21c7-502d-bca2-13bb2cdf2b5e,Dimensions,1,"150,0",Height of work,Centimetres
70bd4cdd-21c7-502d-bca2-13bb2cdf2b5e,Dimensions,1,"103,0",Width of work,Centimetres
b7f71443-04d8-5bbd-9c77-4ef829d3128f,Dimensions,1,"90,0",Height of work,Centimetres
b7f71443-04d8-5bbd-9c77-4ef829d3128f,Dimensions,1,"140,0",Width of work,Centimetres
e6c63e10-2388-5053-a7dc-848c16b55172,Dimensions,1,"83,0",Height of work,Centimetres
e6c63e10-2388-5053-a7dc-848c16b55172,Dimensions,1,"134,0",Width of work,Centimetres
b92a5a30-856c-5117-82f7-a6c8a9f4a76c,Dimensions,1,"90,0",Height of work,Centimetres
b92a5a30-856c-5117-82f7-a6c8a9f4a76c,Dimensions,1,"139,0",Width of work,Centimetres
8f25fc0d-ef47-52bb-9d31-166d022a83b1,Dimensions,1,"110,0",Height of work,Centimetres
8f25fc0d-ef47-52bb-9d31-166d022a83b1,Dimensions,1,"170,0",Width of work,Centimetres
44c6058d-619c-5778-a18b-9c53e437cd07,Dimensions,1,"118,0",Height of work,Centimetres
