ResourceID,card,order,Description,Description Type,Description Language
f054665f-e89b-5527-b4be-e1d47a4263cb,Descriptions,1,"Clara Haesaert, het hoofd naar rechts gedraaid. Borststuk.",Beschrijving,Nederlands
87f8effb-7485-5d82-846f-99bff333cfc0,Descriptions,1,Pagaddertoren in Gent.,Beschrijving,Nederlands
8552fda5-f4c2-5a7e-8227-3626a972e7c1,Descriptions,1,Lode Zielens met kunstschilder Marten Melsen en Emmanuel de Bom te Stabroek,Beschrijving,Nederlands
a8cb1dec-0bf6-5695-b15b-645ff687a102,Descriptions,1,"Jan van Nijlen, Eddy de Perron, Jan Greshoff en Franz Hellens in Gistoux.",Beschrijving,Nederlands
ff50b330-23a5-5a54-be81-c61883a518b0,Descriptions,1,Maurice Gilliams in de verte voor zich uit starend.,Beschrijving,Nederlands
bfc0ee81-10b3-54bd-8ca4-61147179c437,Descriptions,1,"Roger Raveel poserend aan zijn werk, ten voeten uit.",Beschrijving,Nederlands
94fe2532-900e-5ed6-ba1f-becb3618e2da,Descriptions,1,"Stedelijk Instutuut voor Sierkunsten en Ambachten (SISA).

Frans Dille op schoolfeest collega's.",Beschrijving,Nederlands
f90accfd-a381-51aa-a1d4-83618b68b83f,Descriptions,1,"Jan Vanderheyden, portretfoto",Beschrijving,Nederlands
05d64298-749d-55d1-aac7-937d9ecf5d20,Descriptions,1,"Robert van Passen, borststuk met armen gekruist, buitenopname, naar links gericht.",Beschrijving,Nederlands
4c4c99a5-d95e-5ec7-92c2-8931ced9578a,Descriptions,1,"Theodoor Jozef Burton, borststuk.",Beschrijving,Nederlands
c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,Descriptions,1,"Anna Delvigne, als Melisande, in """"Pelleas en Melisande"""" van Claude Debussy.",Beschrijving,Nederlands
f38c9cdd-2aff-5406-a5fb-831ee705ab9b,Descriptions,1,Alice Nahon; portret 3/4 in zetel.,Beschrijving,Nederlands
2a644055-3257-5800-85cb-54a393c05a4f,Descriptions,1,"Yvonne de Man; (album)- samen met haar familie aan zee,- haar broer Robert met zijn zeilbootje op het strand.",Beschrijving,Nederlands
65e19c5f-74bd-564c-a680-7a88e1099b2d,Descriptions,1,"Familiefoto gezin Ernest Martens-Eugenie Van den Dorpe. Vlnr: Nestor, Julienne, Paul, Angèle, Germaine, Rosalie Van den Dorpe (zus van Eugenie), Aurèle, moeder Eugenie, vader Ernest, Gaston (met viool) en Michel.",Beschrijving,Nederlands
525cb592-4469-5472-a28b-915d0df4c87b,Descriptions,1,Raymond Brulez en kleindochter Francesca. Close-up van Francesca,Beschrijving,Nederlands
2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,Descriptions,1,"Vlaamse Poëziedagen, Deurle, 1974. Arthur-Kamiel Rottiers.",Beschrijving,Nederlands
4a6baaba-17fa-558f-965c-e7b475dac7c6,Descriptions,1,"Ward Ruyslinck, rokend. Borststuk.",Beschrijving,Nederlands
e8d3e385-f479-5b92-bf4a-b97898fa3ff1,Descriptions,1,"Helena Bertrijn in """"Aladijn"""".",Beschrijving,Nederlands
97d26865-82f1-5053-8403-0e505e73c673,Descriptions,1,"Emiel Willekens, portret, borststuk.",Beschrijving,Nederlands
37e8668f-2309-5ed4-806b-b10a19c582e7,Descriptions,1,"Clément Pardon (familie): zijn zuster Palmyre-Henriette Pardon met Nicolette, dochter van Leonie Pardon.",Beschrijving,Nederlands
8978b3d2-be52-55ac-ac4c-9d80011fefc1,Descriptions,1,"Philip van Isacker, Statieportret met opdracht aan F.V.C en Mevr. V.C.",Beschrijving,Nederlands
6e266dd2-fa2a-52eb-9ac8-0529eb50a2ed,Descriptions,1,"J. Oscar de Gruyter; met een groep van het """"Fronttoneel"""" op tournee in Duitsland.",Beschrijving,Nederlands
fb79167a-c5de-5918-9e71-25755e3a8b08,Descriptions,1,"Film 45  
- Tulpentuil  
- Familiegroepen  
- Paula en haar gezin  
- Sterfbed en begrafenisstoet dochtertje Verhoest  
- Processie in Ingooigem  
- Paula met Eric",Beschrijving,Nederlands
14284bdf-7a32-570d-83ad-818e882df6e8,Descriptions,1,"Arca-Kelderteater:

Rudi van Vlaenderen, in """"Klacht tegen onbekende"""", door Georges Neveux en onder
regie van Dré Poppe.",Beschrijving,Nederlands
59db60fd-5b91-58fb-8721-f79bcc62f64f,Descriptions,1,"Ida Wasserman als Frolla (1te v.l.) met o.a. Leo de Hartogh (2de v.l., zittend) in een toneelstuk van Luigi Pirandello.",Beschrijving,Nederlands
c2aa9ae8-0c83-52c3-ac9e-23d097803010,Descriptions,1,Opvoering van Zachtjes met de deuren door het Reizend Volkstheater. <p> Op de foto staan Danni Heylen (Danielle) en Roger Thoelen (Vader).,Beschrijving,Nederlands
c42f4b17-eed4-5b74-bd6b-1059a9a41d7a,Descriptions,1,Jan J. Verhoeven. Borststuk.,Beschrijving,Nederlands
b692481a-9b2a-5ad9-9060-eea7c0a4fccd,Descriptions,1,Hubert de Vries (2de v.l.). Viering van 80e verjaardag.,Beschrijving,Nederlands
e719f44a-712c-5df1-a3c0-a1d5f5191ffd,Descriptions,1,"Hulde van Frans Daels aan de Limburgse slachtoffers, tijdens de vijfentwintigste IJzerbedevaart.",Beschrijving,Nederlands
6ff9cac8-9b83-5c98-b844-5fa6712e8ff6,Descriptions,1,"Karel Jonckheere:

Inschepend op de s/s United States.",Beschrijving,Nederlands
b14cf90b-19a9-5639-a891-8d9f62d7308b,Descriptions,1,"Het Renaat de Rudder-koor tijdens de dertigste bedevaart, het jaar waarin oud-voorzitter prof. Daels 75 jaar oud werd.",Beschrijving,Nederlands
572bd27f-1ce0-5037-9ba3-77b0cebd2b9f,Descriptions,1,Marnix Gijsen met de ambassadeur van de Verenigde Naties Walter Loridan.,Beschrijving,Nederlands
c2a62fab-721e-5a30-89f9-b5c344cf7b9a,Descriptions,1,Hubert Lampo. Hoofd.,Beschrijving,Nederlands
70bd4cdd-21c7-502d-bca2-13bb2cdf2b5e,Descriptions,1,"Portret van Louis Bertrijn, ten halve lijve.",Beschrijving,Nederlands
b7f71443-04d8-5bbd-9c77-4ef829d3128f,Descriptions,1,"Alfons Darden in de rol van """"Arme Paljas"""", Folies Bergère, Brussel, bij zijn zilveren toneeljubileum geschonken aan een familielid, Mejuffer Jeanne Otquet.",Beschrijving,Nederlands
e6c63e10-2388-5053-a7dc-848c16b55172,Descriptions,1,"Jan Cleppe, met de handen in zijn broekzak.",Beschrijving,Nederlands
b92a5a30-856c-5117-82f7-a6c8a9f4a76c,Descriptions,1,"Stephanie Claes, kijkend in een boek.",Beschrijving,Nederlands
8f25fc0d-ef47-52bb-9d31-166d022a83b1,Descriptions,1,May Néama; - haar klasje in de YWCA.,Beschrijving,Nederlands
44c6058d-619c-5778-a18b-9c53e437cd07,Descriptions,1,Frans van Cauwelaert feliciteert de moeder van Professor Heymans bij de viering van de zestigste verjaardag van de professor.,Beschrijving,Nederlands
8e0a6f52-ced8-5493-be2a-9f664a8a7e94,Descriptions,1,KVM-reis naar Duitsland; A. Dosfel (rechts) met professor Jacob en 'M.W.'.,Beschrijving,Nederlands
1f59a08b-dda1-5fca-b834-cb8a1694a9a6,Descriptions,1,Jeanne van Rijn. Borststuk.,Beschrijving,Nederlands
3843043e-654e-5213-b654-9551a1c436ea,Descriptions,1,Alexis Callant. Borststuk. Zittend met gezicht naar rechts.,Beschrijving,Nederlands
98ccd930-9117-545b-999e-861da6ef129f,Descriptions,1,"Louise Bonepte, borststuk.",Beschrijving,Nederlands
f4602664-7a75-53c0-8bb1-e602566ac8ca,Descriptions,1,"Jan van Beers Jr. aan tafel op terras. V.l.n.r. ' Tante Rosé', Jan de Braey, Robert de Man en Jan van Beers Jr.",Beschrijving,Nederlands
d993a635-cd92-5b5a-aafb-f1b934d540e4,Descriptions,1,Gerard Walschap in Spanje. Ten voeten uit.,Beschrijving,Nederlands
d1094849-49c8-5741-ab6e-c43cd84d5b0f,Descriptions,1,"Gustave van de Woestijne in zijn Mechelse periode, hoofd.",Beschrijving,Nederlands
35175593-a3c4-5c05-b4c0-125ad2500487,Descriptions,1,"Emanuel Hiel, kijkende naar links. Borststuk.",Beschrijving,Nederlands
2d82c565-4453-55c7-9c00-5af06f09de12,Descriptions,1,"Irène Raymakers,- portret van Frans Völker, gesigneerd.",Beschrijving,Nederlands
838a98b8-79ed-56ea-b03c-03d258c32f41,Descriptions,1,Hugo Verriest. Ten halven lijve.,Beschrijving,Nederlands
f0d39d46-ca0f-5ef7-a63b-1217fbf2810a,Descriptions,1,"Else Flim, in wit hemd, kijkt verbaasd naar voren. Ze staat in de hoek van de kamer.",Beschrijving,Nederlands
199277b1-fc7f-5ec0-91ee-468088c5bd63,Descriptions,1,"Arca-Kelderteater:

Drie onbekenden, in """"School voor Schrijvers"""", door Eugène Ionesco en onder
regie van Dré Poppe.",Beschrijving,Nederlands
dd6ae150-d001-5b01-9d46-1eb38ee1feb5,Descriptions,1,"Valère Depauw, close-up, driekwartprofiel.",Beschrijving,Nederlands
cc3aca53-19d4-5edc-a04d-b0ee39188a24,Descriptions,1,"Charel Janssens; portret, borststuk.",Beschrijving,Nederlands
e2f86e48-3d0a-5046-993c-75a7f93d7ca7,Descriptions,1,Geo Vindevogel. Borststuk.,Beschrijving,Nederlands
ede65729-3df0-5929-8d4d-3db8749cd983,Descriptions,1,"Karel Jonckheere; borststuk, naar links gericht.",Beschrijving,Nederlands
c430702c-64ae-5893-9cfc-c51bcf64b8de,Descriptions,1,Fernande Hougaerts aan het spelen van een rol.,Beschrijving,Nederlands
982c5a1d-4245-5bbd-a9a2-42789c4e82b4,Descriptions,1,"Arca-Kelderteater:

Een vrouw samen met een man, in """"Privaat voor oren en Publiek voor ogen"""", door
Peter Shaffer en onder regie van Dré Poppe.",Beschrijving,Nederlands
e368da7c-3c64-56f2-b777-28c79e0ee3a3,Descriptions,1,"Georges Meir, aan de aula van de Universiteit Gent in de Voldersstraat.",Beschrijving,Nederlands
faa21d16-2c0d-5edf-9bae-98a024d2f6f7,Descriptions,1,Marthe Donas in haar atelier te Parijs,Beschrijving,Nederlands
