code, value
date001:, (unused) date is in parentheses: meaning unclear
date002:, date is in square brackets: meaning the date has been estimated by the archivist
date003:, means "ca." appears before the date
date004:, date represented as "17e eeuw"
date005:, means add (?) to the end often associated with dashes in part of the date (year)
date006:, means no creation date: coded as "z.d." or "z.d" in id/date/creationdate/in and no
date007:, means "voor" (before)
date008:, means "na" appears before the date
date009:, square brackets and last digit of year replaced with a dash means decade estimated by archivist
date010:, (unused) "open date": date is suffixed with "-"
