code,value
tbp,kogelpen
tco,conté
tgt,gemengde techniek
thk,houtskool
tin,Inkt
tkk,kleurkrijt
tkp,kleurpotlood
tkr,krijt
tnp,negropotlood
toi,Oost-Indische inkt
tow,Oost-Indische inktwas
tpa,pastel
tpe,pen
tpl,Potlood
tps,penseel
trp,rietpen
tsg,sanguine
tsl,sepialavis
tvs,viltstift
twk,waskrijt
zaq,aquarel
zat,aquatint
zbu,burain
zbw,bisterwas
zdn,droge naald
zdv,dekverf
zec,échoppe
zga,geaquarelleerd
zgw,gewassen
zkg,kopergravure
zlv,lavis
zmt,mezzotint
zov,olieverf
zsm,sepiamonotype
ztd,tegendruk
zvm,vernis mou
zwv,waterverf
